
*** Voronoi Diagram Neighbours k = 2326 ***
Seed	Neighbours
N2326(1)	{ 1158 1967 1588 43 }
N2326(2)	{ 1967 43 2243 2245 2244 1937 2289 2108 1722 }
N2326(3)	{ 2162 2158 2243 1822 1070 2322 2321 43 }
N2326(4)	{ 1241 2203 680 7 }
N2326(5)	{ 522 250 252 472 621 620 192 }
N2326(6)	{ 528 194 1336 474 193 }
N2326(7)	{ 46 942 720 2203 4 44 }
N2326(8)	{ 1339 1340 1823 1338 1497 2277 2157 1778 }
N2326(9)	{ 2029 1764 10 2108 15 1826 }
N2326(10)	{ 2029 1929 9 2043 416 15 }
N2326(11)	{ 670 669 2151 1347 1167 2315 1351 810 }
N2326(12)	{ 1378 2194 1377 1702 2198 2075 1538 }
N2326(13)	{ 1572 1881 1571 1706 640 1971 642 1970 }
N2326(14)	{ 856 263 855 2002 98 1573 }
N2326(15)	{ 2043 10 9 2318 1893 2108 }
N2326(16)	{ 419 1705 418 1704 750 2101 2168 1816 2167 }
N2326(17)	{ 72 71 430 2188 2172 2017 }
N2326(18)	{ 806 2083 805 1856 2304 2232 2080 }
N2326(19)	{ 1094 1298 1099 1410 889 1097 }
N2326(20)	{ 25 654 1129 909 1722 910 }
N2326(21)	{ 654 653 2112 953 2111 2325 2182 25 }
N2326(22)	{ 1479 1275 1478 1035 2274 2273 2088 }
N2326(23)	{ 81 1213 82 1212 1864 1404 818 }
N2326(24)	{ 2169 2182 2326 2170 2325 }
N2326(25)	{ 654 20 21 2326 2325 }
N2326(26)	{ 914 913 2200 655 657 }
N2326(27)	{ 1835 1836 1766 1834 }
N2326(28)	{ 196 272 197 990 271 100 }
N2326(29)	{ 1844 1838 2279 1839 1841 }
N2326(30)	{ 86 1251 1046 819 2126 85 1045 }
N2326(31)	{ 1545 2154 1233 1989 2227 2153 1799 }
N2326(32)	{ 919 1136 1780 1867 1783 1904 1607 1007 }
N2326(33)	{ 916 1796 38 659 }
N2326(34)	{ 1423 1782 1499 1917 1745 1500 }
N2326(35)	{ 1237 1641 1204 1486 1455 2326 1900 }
N2326(36)	{ 2122 2052 2123 2053 1205 }
N2326(37)	{ 40 195 1515 835 64 1854 709 400 }
N2326(38)	{ 916 1000 33 1797 662 1796 1543 2008 2007 1734 }
N2326(39)	{ 1886 1976 1978 1975 1977 }
N2326(40)	{ 195 37 100 779 920 853 }
N2326(41)	{ 1675 687 1676 1678 1674 1677 }
N2326(42)	{ 2187 2186 2323 2322 2184 }
N2326(43)	{ 1967 1 1158 2243 2 2322 3 2186 }
N2326(44)	{ 286 46 276 2203 1689 7 }
N2326(45)	{ 285 201 198 861 200 783 }
N2326(46)	{ 44 286 7 944 720 473 }
N2326(47)	{ 202 426 206 205 721 204 203 }
N2326(48)	{ 989 553 1344 2113 1982 2058 }
N2326(49)	{ 428 209 429 210 427 }
N2326(50)	{ 568 794 1353 1935 125 1679 }
N2326(51)	{ 1502 1960 1785 1503 }
N2326(52)	{ 1698 1699 1806 969 1980 1725 53 }
N2326(53)	{ 1577 1806 1576 1980 1724 52 }
N2326(54)	{ 576 1358 1346 212 1527 573 1345 }
N2326(55)	{ 215 214 211 1358 213 212 }
N2326(56)	{ 862 586 1691 216 356 }
N2326(57)	{ 877 1558 1800 2315 810 2035 }
N2326(58)	{ 1348 1349 1347 2286 1350 1351 }
N2326(59)	{ 1160 1159 1600 1161 1163 }
N2326(60)	{ 1964 1997 2057 1963 1998 }
N2326(61)	{ 218 501 219 220 981 221 222 }
N2326(62)	{ 225 502 224 223 506 226 503 }
N2326(63)	{ 228 510 231 227 2248 230 229 }
N2326(64)	{ 400 598 513 37 1850 1515 66 }
N2326(65)	{ 232 608 605 234 }
N2326(66)	{ 598 1850 1362 64 }
N2326(67)	{ 1166 1167 1437 1165 1438 1164 1184 }
N2326(68)	{ 971 1186 1771 1417 1741 }
N2326(69)	{ 70 2190 2129 2189 }
N2326(70)	{ 2129 2128 2017 2189 2188 69 }
N2326(71)	{ 72 1470 1469 17 2252 1254 2017 }
N2326(72)	{ 17 430 757 71 1469 2023 1386 2018 }
N2326(73)	{ 765 2061 764 2062 74 2026 }
N2326(74)	{ 2061 2060 2062 2059 73 }
N2326(75)	{ 741 1550 1620 616 1934 1933 1931 }
N2326(76)	{ 238 237 403 236 235 }
N2326(77)	{ 2237 405 1213 2247 713 2246 }
N2326(78)	{ 242 729 240 726 1520 406 241 }
N2326(79)	{ 817 80 1505 816 818 2126 88 85 }
N2326(80)	{ 818 79 2129 88 81 }
N2326(81)	{ 818 23 82 1682 2129 80 1683 }
N2326(82)	{ 23 1682 81 2246 1213 1348 }
N2326(83)	{ 409 992 408 180 2266 181 182 }
N2326(84)	{ 185 2266 182 2265 }
N2326(85)	{ 86 817 665 2126 79 30 }
N2326(86)	{ 85 30 665 1871 819 1008 }
N2326(87)	{ 825 1870 819 1869 1915 1911 824 }
N2326(88)	{ 79 2126 2127 2129 80 2128 }
N2326(89)	{ 437 673 438 672 }
N2326(90)	{ 864 113 1336 525 2308 247 835 }
N2326(91)	{ 253 254 255 257 256 194 }
N2326(92)	{ 260 261 530 259 529 440 }
N2326(93)	{ 1847 1013 2231 1848 1846 }
N2326(94)	{ 1014 1016 1019 1015 1848 2302 1727 2230 }
N2326(95)	{ 1850 1515 1362 2002 1573 1188 }
N2326(96)	{ 447 443 674 444 446 }
N2326(97)	{ 263 264 266 262 265 }
N2326(98)	{ 263 262 703 704 2002 14 1188 }
N2326(99)	{ 532 268 533 269 270 }
N2326(100)	{ 272 195 779 40 990 28 469 }
N2326(101)	{ 677 678 776 679 1561 448 675 }
N2326(102)	{ 180 538 776 755 450 }
N2326(103)	{ 1246 975 977 1548 976 683 }
N2326(104)	{ 1012 686 685 1675 687 688 }
N2326(105)	{ 276 286 2078 2240 2163 453 }
N2326(106)	{ 452 1392 2240 453 1700 }
N2326(107)	{ 277 453 1141 278 1394 778 987 }
N2326(108)	{ 540 280 278 689 922 690 541 }
N2326(109)	{ 693 694 1849 692 695 }
N2326(110)	{ 518 283 438 282 556 543 454 }
N2326(111)	{ 331 112 330 200 565 459 479 }
N2326(112)	{ 200 111 331 2292 201 2079 }
N2326(113)	{ 835 90 1717 723 864 }
N2326(114)	{ 290 289 581 288 287 }
N2326(115)	{ 1168 584 722 1173 552 484 }
N2326(116)	{ 291 292 457 294 483 456 293 }
N2326(117)	{ 297 299 298 457 295 296 }
N2326(118)	{ 301 988 303 302 1173 300 552 }
N2326(119)	{ 989 304 307 988 1981 306 1352 }
N2326(120)	{ 310 311 555 312 313 1516 309 308 }
N2326(121)	{ 315 318 314 1516 316 317 }
N2326(122)	{ 322 123 321 561 493 323 560 }
N2326(123)	{ 122 323 322 325 326 562 458 324 }
N2326(124)	{ 459 330 566 460 461 }
N2326(125)	{ 331 461 568 567 1935 50 129 }
N2326(126)	{ 463 336 571 334 569 462 }
N2326(127)	{ 838 463 336 837 1680 1353 1354 }
N2326(128)	{ 1680 1354 1806 1679 969 }
N2326(129)	{ 1935 125 2079 1574 331 }
N2326(130)	{ 1169 1515 1506 1851 1345 835 }
N2326(131)	{ 339 341 132 337 595 338 575 }
N2326(132)	{ 339 131 342 341 343 340 133 }
N2326(133)	{ 132 342 345 343 348 344 134 }
N2326(134)	{ 347 345 133 348 581 349 346 }
N2326(135)	{ 787 136 582 1946 1690 583 }
N2326(136)	{ 582 580 138 787 135 786 }
N2326(137)	{ 351 216 353 350 352 }
N2326(138)	{ 578 580 579 136 2204 139 786 }
N2326(139)	{ 578 577 1983 596 585 2204 587 786 138 }
N2326(140)	{ 354 586 357 736 355 365 }
N2326(141)	{ 978 142 699 1884 696 1883 }
N2326(142)	{ 141 979 978 700 1684 143 696 }
N2326(143)	{ 700 142 1684 1847 1013 1685 }
N2326(144)	{ 964 222 218 1573 963 1359 }
N2326(145)	{ 359 589 161 591 361 360 }
N2326(146)	{ 1355 1616 1615 1249 1875 1874 859 }
N2326(147)	{ 1250 981 1249 1947 774 1874 }
N2326(148)	{ 368 154 369 266 2069 502 734 }
N2326(149)	{ 857 445 464 980 504 446 }
N2326(150)	{ 505 857 464 860 465 466 }
N2326(151)	{ 365 506 363 503 2130 362 366 }
N2326(152)	{ 512 703 511 993 1169 994 704 }
N2326(153)	{ 154 370 703 367 512 }
N2326(154)	{ 368 367 148 153 2248 369 370 }
N2326(155)	{ 374 371 2130 372 373 }
N2326(156)	{ 468 467 376 596 378 377 }
N2326(157)	{ 404 173 597 380 604 381 385 }
N2326(158)	{ 383 382 384 1528 600 604 }
N2326(159)	{ 386 387 600 1529 1528 389 }
N2326(160)	{ 161 391 610 866 865 359 }
N2326(161)	{ 359 160 589 145 609 390 391 }
N2326(162)	{ 930 706 237 1518 173 707 }
N2326(163)	{ 867 164 795 1517 392 1021 }
N2326(164)	{ 392 737 867 738 163 }
N2326(165)	{ 166 396 615 397 708 183 267 }
N2326(166)	{ 165 396 399 470 183 411 }
N2326(167)	{ 802 1032 1510 1888 2104 1932 2103 }
N2326(168)	{ 1509 1511 1510 2093 1507 1508 }
N2326(169)	{ 532 1512 863 269 2093 1513 1508 }
N2326(170)	{ 401 403 402 235 618 172 270 }
N2326(171)	{ 236 402 1174 1961 237 2056 1962 2013 }
N2326(172)	{ 514 235 513 170 1854 618 400 }
N2326(173)	{ 404 237 157 1518 385 162 }
N2326(174)	{ 711 1383 1687 712 1628 }
N2326(175)	{ 1172 516 1171 1701 515 1170 }
N2326(176)	{ 516 241 1401 1402 1827 1172 1630 }
N2326(177)	{ 839 1520 407 1521 406 2152 1211 1514 }
N2326(178)	{ 409 271 991 408 990 }
N2326(179)	{ 275 991 469 992 408 538 }
N2326(180)	{ 102 992 83 538 450 1834 2283 1907 181 }
N2326(181)	{ 83 2283 180 2266 }
N2326(182)	{ 409 536 534 185 2266 83 84 }
N2326(183)	{ 273 470 166 184 165 709 708 272 }
N2326(184)	{ 412 273 470 183 410 }
N2326(185)	{ 536 182 413 1618 1617 2265 84 186 }
N2326(186)	{ 1618 2103 1888 1619 2265 185 1271 }
N2326(187)	{ 829 983 1047 1048 1490 191 1287 }
N2326(188)	{ 243 982 1251 1357 730 1356 }
N2326(189)	{ 831 1208 1719 1210 2208 833 834 }
N2326(190)	{ 2068 2064 2173 1721 2065 }
N2326(191)	{ 829 187 1490 2252 1252 2017 }
N2326(192)	{ 523 250 5 621 732 521 718 }
N2326(193)	{ 194 526 253 1336 6 525 }
N2326(194)	{ 253 91 257 193 6 530 259 528 }
N2326(195)	{ 40 100 709 272 37 }
N2326(196)	{ 28 197 271 536 475 534 }
N2326(197)	{ 28 475 196 272 }
N2326(198)	{ 285 547 284 783 45 476 }
N2326(199)	{ 563 478 861 479 783 477 }
N2326(200)	{ 201 112 111 861 479 45 }
N2326(201)	{ 200 45 524 285 252 286 2292 112 2078 }
N2326(202)	{ 47 481 203 480 485 482 206 }
N2326(203)	{ 202 497 481 346 721 47 287 }
N2326(204)	{ 205 721 47 722 484 290 }
N2326(205)	{ 47 483 426 204 551 293 484 }
N2326(206)	{ 47 485 482 202 486 426 292 }
N2326(207)	{ 488 489 563 487 564 328 490 }
N2326(208)	{ 492 494 491 428 561 493 320 }
N2326(209)	{ 324 210 49 495 428 323 }
N2326(210)	{ 209 49 562 324 327 566 429 329 }
N2326(211)	{ 55 215 212 496 1717 1361 723 }
N2326(212)	{ 211 1358 55 54 1851 1345 723 }
N2326(213)	{ 214 343 1358 55 1346 }
N2326(214)	{ 55 213 343 347 345 215 }
N2326(215)	{ 55 347 214 211 497 496 346 }
N2326(216)	{ 351 137 862 217 1691 56 352 }
N2326(217)	{ 351 787 583 862 498 216 }
N2326(218)	{ 222 61 219 1359 499 144 }
N2326(219)	{ 218 499 501 61 590 500 361 }
N2326(220)	{ 61 591 501 1615 221 360 }
N2326(221)	{ 222 61 981 1249 1615 1355 220 }
N2326(222)	{ 218 144 221 61 1250 981 964 }
N2326(223)	{ 502 369 503 362 62 }
N2326(224)	{ 62 225 504 2069 502 980 }
N2326(225)	{ 62 224 504 507 505 226 }
N2326(226)	{ 506 62 507 225 363 }
N2326(227)	{ 509 508 228 510 375 63 }
