
***             Voronoi Diagram k =  551         ***
index	sx	sy	ls	mi
        1	    196	    298	      5.39	      1.01
        2	    271	    256	      22.8	      1.18
        3	    283	    316	      8.83	      1.12
        4	    233	    350	      14.9	     0.854
        5	    230	    262	      21.9	      1.16
        6	    187	    221	      6.78	     0.935
        7	     61	    439	       113	     0.836
        8	    284	    182	      6.32	     0.893
        9	    339	    311	      8.94	     0.835
       10	    223	    183	      5.39	     0.922
       11	    349	    204	      10.7	     0.832
       12	     59	    164	      82.1	      0.84
       13	    260	    304	      9.33	      1.13
       14	    289	    287	      15.8	      1.16
       15	    297	    298	      11.9	      1.12
       16	    231	    320	       8.6	      1.09
       17	    250	    339	       6.4	     0.897
       18	    296	    209	      9.11	      1.14
       19	    282	    214	      14.3	      1.14
       20	    268	    209	        15	      1.14
       21	    215	    230	      13.5	      1.13
       22	    185	    246	      5.83	     0.994
       23	    190	    204	      8.94	     0.891
       24	    243	    178	      7.14	     0.902
       25	    231	    212	      9.06	      1.15
       26	    222	    211	         9	      1.13
       27	    205	    191	      6.56	     0.905
       28	    223	    291	        16	      1.14
       29	    205	    310	      5.57	     0.955
       30	    191	    318	      10.2	      0.86
       31	    197	    282	      7.81	      1.11
       32	    305	    180	       4.8	     0.778
       33	    286	    192	         7	      1.05
       34	    278	    198	       9.9	      1.11
       35	    272	    181	       5.2	     0.867
       36	    211	    245	      14.8	      1.13
       37	    194	    264	      7.35	      1.08
       38	    198	    240	      9.59	      1.08
       39	    267	    319	      7.75	      1.11
       40	    272	    313	      8.83	      1.11
       41	    280	    305	      10.7	      1.13
       42	    289	    308	      10.5	      1.11
       43	    301	    323	      7.75	     0.874
       44	    309	    268	      12.6	      1.12
       45	    293	    265	      19.3	      1.17
       46	    292	    243	      19.9	      1.15
       47	    232	    191	      6.08	     0.994
       48	    226	    194	      6.48	      1.11
       49	    220	    195	      7.14	      1.04
       50	    210	    258	      14.1	      1.13
       51	    206	    268	      11.5	      1.12
       52	    191	    256	      6.24	      1.04
       53	    309	    254	      14.3	      1.15
       54	    243	    334	      4.58	     0.882
       55	    250	    319	      9.75	      1.09
       56	    254	    327	      7.07	      1.07
       57	    215	    278	      16.1	      1.16
       58	    205	    287	        11	      1.11
       59	    194	    274	      7.21	       1.1
       60	    275	    185	       4.9	     0.968
       61	    270	    194	      8.54	       1.1
       62	    259	    188	      6.78	      1.09
       63	    293	    338	      10.2	     0.867
       64	    293	    319	      8.72	      1.03
       65	    298	    312	      8.31	      1.08
       66	    309	    313	      5.74	     0.966
       67	    318	    287	      7.81	      1.09
       68	    303	    279	      13.3	      1.14
       69	    206	    297	         9	       1.1
       70	    170	    293	      9.49	     0.872
       71	    194	    294	      5.92	      0.95
       72	    191	    245	      6.48	      1.07
       73	    179	    254	      6.78	     0.935
       74	    181	    237	      6.08	     0.869
       75	    341	    279	      10.3	     0.869
       76	    406	    274	      45.9	      0.85
       77	    303	    229	      12.7	      1.15
       78	    319	    222	      5.74	      1.03
       79	    199	    252	      9.49	      1.11
       80	    197	    259	         8	      1.12
       81	    181	    259	      5.83	     0.903
       82	    193	    250	      6.56	      1.09
       83	    305	    317	      6.86	     0.985
       84	    302	    307	      7.81	      1.09
       85	    307	    301	      8.49	       1.1
       86	    317	    305	         5	     0.957
       87	    237	    378	      37.7	     0.842
       88	    197	    219	      6.24	      1.04
       89	    197	    227	      6.56	      1.08
       90	    190	    227	      5.66	         1
       91	    146	    210	      33.3	     0.843
       92	    252	    157	      21.6	     0.859
       93	    245	    189	      7.94	      1.05
       94	    235	    179	      6.24	     0.903
       95	    217	    305	      9.75	      1.12
       96	    209	    317	      5.48	     0.875
       97	    201	    321	      9.17	     0.886
       98	    199	    312	      6.93	     0.872
       99	    202	    305	      6.24	      1.01
      100	    210	    302	      8.31	      1.08
      101	    293	    192	         6	     0.925
      102	    285	    200	      8.06	      1.12
      103	    283	    188	      5.83	      1.03
      104	    291	    186	      6.48	     0.847
      105	    335	    239	      7.07	     0.894
      106	    328	    240	      5.66	     0.998
      107	    310	    239	      12.4	      1.13
      108	    317	    232	      6.63	      1.13
      109	    333	    245	      5.48	     0.897
      110	    327	    251	      5.66	      1.06
      111	    328	    245	      5.48	      1.02
      112	    264	    187	      6.32	      1.08
      113	    262	    196	      9.95	      1.12
      114	    253	    201	      11.8	      1.13
      115	    252	    190	      8.49	      1.08
      116	    259	    176	       6.4	     0.894
      117	    325	    291	      5.39	      1.02
      118	    323	    295	      6.48	     0.979
      119	    316	    294	      7.35	      1.08
      120	    306	    290	      11.3	      1.12
      121	    315	    281	      9.54	      1.13
      122	    316	    228	      6.63	       1.1
      123	    308	    219	      7.68	      1.15
      124	    318	    208	       4.9	      0.89
      125	    329	    315	      7.42	     0.841
      126	    328	    304	      5.48	      0.88
      127	    331	    301	      6.86	     0.875
      128	    393	    306	      45.7	      0.85
      129	    182	    187	      10.1	     0.824
      130	    140	    183	      46.5	     0.845
      131	    241	    313	      11.3	       1.1
      132	    234	    326	      6.24	         1
      133	    229	    331	      6.93	     0.886
      134	    225	    329	      6.71	     0.917
      135	    220	    325	      7.28	     0.967
      136	    226	    318	      7.87	      1.09
      137	    233	    304	      13.9	      1.13
      138	    305	    200	       4.8	     0.892
      139	    302	    208	         6	      1.13
      140	    291	    224	      15.5	      1.15
      141	    289	    205	      8.49	      1.15
      142	    295	    201	      5.57	      1.08
      143	    211	    187	      7.68	     0.908
      144	    210	    200	       5.1	      1.01
      145	    195	    190	      5.92	     0.821
      146	    309	    190	      6.48	      0.86
      147	    301	    184	      4.69	     0.767
      148	    298	    176	      5.29	     0.857
      149	    277	    326	      6.32	      1.03
      150	    271	    339	      8.19	     0.874
      151	    269	    332	      6.08	     0.957
      152	    276	    320	      7.48	      1.11
      153	    200	    275	      9.22	      1.11
      154	    188	    281	      7.21	      1.04
      155	    182	    275	      6.63	      0.93
      156	    188	    273	      6.08	      1.03
      157	    278	    402	      45.5	     0.831
      158	    285	    329	      5.48	     0.921
      159	    289	    326	      6.78	     0.957
      160	    296	    329	      8.54	     0.896
      161	    300	    348	      15.2	      0.84
      162	    185	    252	      6.24	     0.995
      163	    174	    250	      7.35	     0.883
      164	    313	    334	      7.87	     0.868
      165	    313	    328	      6.24	     0.873
      166	    318	    326	      7.14	     0.847
      167	    323	    323	      6.24	     0.867
      168	    322	    302	      6.48	     0.899
      169	    321	    313	       5.1	     0.801
      170	    313	    307	      5.66	     0.975
      171	    315	    299	      6.71	     0.982
      172	    235	    339	      8.77	     0.846
      173	    243	    342	         8	      0.83
      174	    250	    181	      7.42	     0.982
      175	    240	    182	      6.08	     0.956
      176	    237	    186	      5.83	      1.01
      177	    231	    183	      6.24	     0.905
      178	     58	    340	      84.8	     0.835
      179	    185	    341	      17.4	     0.844
      180	    459	    304	      55.1	     0.846
      181	    332	    310	      6.86	     0.867
      182	    339	    304	      10.4	     0.854
      183	    227	    186	      5.66	     0.955
      184	    222	    189	      6.08	     0.948
      185	    217	    185	      6.71	     0.923
      186	    224	    173	      8.49	     0.877
      187	    331	    212	      7.28	     0.888
      188	    332	    198	      6.16	     0.901
      189	    157	    170	      26.3	     0.845
      190	    274	    176	      5.66	     0.867
      191	    269	    185	      5.66	      1.01
      192	    267	    180	       5.2	     0.916
      193	    279	    186	       4.9	     0.996
      194	    275	    190	      6.56	      1.09
      195	    279	    179	      5.83	     0.919
      196	    336	    271	      7.55	     0.864
      197	    334	    264	      6.08	     0.902
      198	    345	    260	      13.2	     0.875
      199	    328	    327	      6.86	      0.83
      200	    336	    331	      6.56	     0.864
      201	    182	    211	      8.89	     0.896
      202	    168	    225	      12.7	     0.848
      203	    177	    200	      15.2	     0.852
      204	    254	    174	      6.56	      0.84
      205	    248	    173	      8.06	     0.858
      206	    356	    308	        25	     0.834
      207	    337	    297	      8.66	     0.891
      208	    360	    292	      22.6	     0.851
      209	    312	    197	      6.32	     0.863
      210	    307	    203	       4.8	      0.97
      211	    300	    202	      5.29	      1.09
      212	    301	    198	      3.87	     0.968
      213	    217	    204	      7.75	      1.08
      214	    209	    208	      6.24	      1.07
      215	    202	    198	      6.16	     0.918
      216	    213	    195	      7.07	     0.955
      217	    325	    192	         8	     0.866
      218	    317	    193	      7.62	      0.85
      219	    315	    184	      7.07	     0.875
      220	    300	    179	      4.36	     0.805
      221	    295	    181	       5.2	     0.847
      222	    293	    177	      5.57	     0.929
      223	    279	    338	      9.54	      0.85
      224	    287	    355	      21.5	     0.833
      225	     66	    230	      47.1	     0.842
      226	    179	    245	      6.16	     0.887
      227	    306	    329	      8.25	     0.872
      228	    144	    352	        57	     0.833
      229	    337	    206	      7.75	     0.833
      230	    170	    168	      18.2	     0.819
      231	    221	    335	      8.06	     0.889
      232	    202	    331	      9.59	     0.841
      233	    213	    329	      7.48	     0.892
      234	    181	    300	      9.06	     0.869
      235	    159	    302	      17.6	     0.864
      236	    178	    290	      8.25	     0.867
      237	    357	    277	      18.6	      0.85
      238	    341	    267	       9.7	     0.884
      239	    187	    259	      5.74	      1.02
      240	    184	    263	      5.39	     0.993
      241	    216	    315	       5.1	      1.04
      242	    209	    324	      6.86	     0.887
      243	    206	    315	      5.66	     0.906
      244	    263	    164	      9.06	     0.855
      245	    262	    180	      5.83	     0.943
      246	    256	    182	       6.4	      1.01
      247	    258	    105	        44	     0.852
      248	    324	    207	      6.86	     0.876
      249	    325	    215	      6.48	     0.895
      250	    319	    212	      5.48	     0.912
      251	    313	    210	       4.8	     0.978
      252	    315	    205	      4.69	     0.898
      253	    319	    200	      7.07	     0.898
      254	    323	    184	      8.54	     0.865
      255	    303	    170	      8.54	     0.872
      256	    275	    352	      14.6	     0.849
      257	    173	    244	      7.68	     0.866
      258	    305	    339	      10.1	     0.872
      259	    181	    323	      11.2	      0.85
      260	    170	    331	      16.8	     0.836
      261	    153	    323	      20.6	     0.846
      262	    339	    322	      6.71	     0.869
      263	    341	    318	      10.3	     0.817
      264	    229	    134	      36.1	     0.847
      265	    221	    179	      5.83	     0.849
      266	    216	    177	      7.62	     0.864
      267	    195	     55	      71.2	     0.848
      268	    268	    159	      14.9	     0.869
      269	    329	    266	      5.39	     0.928
      270	    328	    261	      5.74	      1.08
      271	    333	    260	      4.58	     0.933
      272	    336	    257	      6.48	     0.923
      273	    471	    260	      60.3	     0.852
      274	    325	    468	      69.4	     0.843
      275	    333	    325	      7.14	     0.857
      276	    168	    232	      10.8	     0.854
      277	    168	    239	      12.8	     0.877
      278	    153	    463	      87.2	     0.837
      279	    343	    198	      8.31	     0.835
      280	    216	    437	        39	     0.847
      281	    212	    335	      7.87	     0.881
      282	    258	    320	      9.33	       1.1
      283	    257	    333	       4.8	     0.946
      284	    249	    330	      5.74	     0.992
      285	    205	    218	      7.42	      1.08
      286	    205	    226	      9.22	       1.1
      287	    194	    222	      5.74	     0.968
      288	    189	    214	      7.35	     0.925
      289	    199	    214	      5.57	      1.04
      290	    173	    207	      15.7	     0.859
      291	    176	    216	      9.75	      0.88
      292	    346	    238	      12.4	     0.868
      293	    341	    232	      9.27	     0.897
      294	    326	    285	      6.71	     0.944
      295	    323	    279	      7.21	      1.05
      296	    304	    186	      4.36	     0.911
      297	    301	    189	       4.9	     0.902
      298	    296	    186	      5.29	     0.853
      299	    274	    332	      6.16	     0.955
      300	    265	    339	      7.14	     0.908
      301	    263	    330	      5.92	      1.05
      302	    266	    325	      6.56	      1.08
      303	    272	    327	      5.83	      1.07
      304	    325	    309	      5.74	     0.853
      305	    324	    318	         6	     0.853
      306	    316	    318	      6.16	     0.851
      307	    316	    312	       5.1	     0.898
      308	    319	    309	      4.36	     0.896
      309	    172	    327	      9.17	     0.853
      310	    164	    324	      13.5	     0.834
      311	    168	    374	      54.1	      0.84
      312	    181	    335	      11.1	     0.834
      313	    191	    330	      11.3	     0.832
      314	    454	    333	      52.8	     0.853
      315	    337	    198	      5.74	     0.843
      316	    330	    204	      6.56	     0.875
      317	    326	    199	      6.63	     0.849
      318	    377	    160	      47.7	     0.848
      319	    457	    368	      75.2	     0.845
      320	    333	    333	      7.75	     0.804
      321	    343	    328	      16.3	     0.857
      322	    213	    215	      10.2	      1.12
      323	    204	    211	      5.92	      1.04
      324	    203	    206	       4.9	     0.997
      325	    206	    203	         5	      0.92
      326	    189	    171	      9.11	     0.826
      327	    179	    180	      13.2	     0.832
      328	    177	    264	      8.06	     0.912
      329	    114	    276	      33.4	     0.853
      330	    258	    169	      8.43	     0.846
      331	    436	     57	       110	     0.857
      332	    350	    147	      31.5	     0.843
      333	    330	    178	      12.2	     0.858
      334	    315	    177	      7.28	     0.844
      335	    308	    174	      7.28	     0.839
      336	    303	    176	      4.47	     0.873
      337	    209	    177	      8.12	     0.869
      338	    203	    175	      8.54	     0.877
      339	    201	    163	      14.8	     0.836
      340	    268	    175	      7.81	     0.864
      341	    329	    273	      6.71	     0.959
      342	    325	    268	      5.83	      1.06
      343	    320	    264	      8.54	      1.11
      344	    368	    261	      28.5	     0.849
      345	    343	    251	      10.5	      0.86
      346	    359	    243	      19.8	     0.863
      347	    333	    364	      22.8	     0.841
      348	    469	    444	        92	      0.84
      349	    276	    296	      12.2	      1.14
      350	    264	    310	      8.83	      1.12
      351	    240	    288	      18.3	      1.15
      352	    251	    273	      21.3	      1.17
      353	    273	    279	      19.1	      1.17
      354	    246	    335	       4.9	       0.9
      355	    241	    337	       5.2	     0.879
      356	    236	    333	       6.4	      0.88
      357	    244	    329	         6	      1.02
      358	    311	    320	      7.07	     0.899
      359	    308	    309	      5.83	      1.02
      360	    170	    300	      11.4	     0.849
      361	    199	    233	      8.49	       1.1
      362	    191	    233	      6.16	      1.06
      363	    186	    228	      5.39	     0.895
      364	     72	    204	        51	     0.837
      365	    334	    293	      6.48	     0.905
      366	    344	    287	      12.6	     0.872
      367	    183	    176	      7.68	     0.842
      368	    332	    141	      34.7	     0.842
      369	    231	     58	      44.8	     0.852
      370	    235	    171	      8.94	     0.883
      371	    224	    160	      19.9	     0.834
      372	    213	    167	      12.6	     0.877
      373	    196	    129	      45.1	     0.839
      374	    334	    348	      16.7	      0.84
      375	    209	    368	      35.7	     0.842
      376	    216	    341	      7.94	     0.875
      377	    222	    343	      8.66	     0.852
      378	    260	    333	      5.29	     0.949
      379	    262	    346	      12.8	     0.873
      380	    253	    333	       5.1	     0.957
      381	    194	    211	         6	     0.865
      382	    368	    225	      25.4	     0.858
      383	    330	    279	      7.42	     0.895
      384	    384	    189	      34.8	      0.85
      385	    335	    186	      7.35	     0.839
      386	    339	    182	      8.37	     0.826
      387	    424	    179	      54.2	     0.848
      388	    342	    338	      17.8	      0.85
      389	    372	    353	      56.8	     0.843
      390	    198	    209	         5	     0.894
      391	    196	    176	      8.25	     0.883
      392	    190	    181	      5.66	     0.858
