
*** Voronoi Diagram Neighbours k = 7175 ***
Seed	Neighbours
N7175(1)	{ 5046 5048 1624 6950 6949 6011 }
N7175(2)	{ 5251 3935 5895 3936 5255 4961 }
N7175(3)	{ 6160 3938 6166 6159 3937 }
N7175(4)	{ 6614 6935 6934 6979 6610 6751 }
N7175(5)	{ 292 65 61 7154 286 7153 }
N7175(6)	{ 360 356 6848 6847 7053 363 6284 }
N7175(7)	{ 94 17 66 6849 6842 6932 6282 6283 }
N7175(8)	{ 6285 2769 6284 7060 2770 7053 }
N7175(9)	{ 3210 322 64 5718 5869 7052 65 5870 }
N7175(10)	{ 205 845 844 203 6844 206 207 }
N7175(11)	{ 2060 213 2059 2064 2061 211 }
N7175(12)	{ 6832 6834 6831 7058 7057 6835 }
N7175(13)	{ 1866 652 217 5328 2247 654 }
N7175(14)	{ 219 218 5054 6852 856 5055 220 }
N7175(15)	{ 860 224 2072 859 223 }
N7175(16)	{ 227 870 3654 3653 861 }
N7175(17)	{ 7 6291 94 1131 6757 6288 6290 }
N7175(18)	{ 797 611 1116 1121 613 1120 }
N7175(19)	{ 4314 2719 2717 5836 2718 2087 }
N7175(20)	{ 235 5733 5732 236 5890 2824 884 }
N7175(21)	{ 5704 5706 5708 5709 5710 5712 5711 5703 }
N7175(22)	{ 435 121 120 457 6998 6997 122 }
N7175(23)	{ 4006 3941 5897 6965 3942 5898 }
N7175(24)	{ 243 242 244 889 5064 6798 2830 5065 }
N7175(25)	{ 483 2392 1231 1228 4995 4994 137 }
N7175(26)	{ 1874 1576 3371 1577 662 }
N7175(27)	{ 2722 2724 6092 5450 6193 2721 5431 }
N7175(28)	{ 6837 6838 6839 6841 6840 6836 }
N7175(29)	{ 4964 6440 4963 6706 6434 4965 }
N7175(30)	{ 6294 6295 6296 6298 6297 6293 }
N7175(31)	{ 38 1415 34 1425 1414 1406 6119 536 171 }
N7175(32)	{ 269 2848 921 2851 2847 6676 273 268 }
N7175(33)	{ 34 41 4119 3072 1415 187 5522 3945 4629 }
N7175(34)	{ 41 38 1415 31 33 }
N7175(35)	{ 1881 667 1883 666 664 }
N7175(36)	{ 3343 177 612 640 6645 6644 794 }
N7175(37)	{ 618 2466 617 3885 183 4092 1504 180 }
N7175(38)	{ 34 171 31 6529 41 39 }
N7175(39)	{ 171 2804 2803 628 6529 38 627 }
N7175(40)	{ 1543 4954 626 632 627 6989 6810 4830 }
N7175(41)	{ 34 33 38 6812 6529 3945 }
N7175(42)	{ 675 676 674 1896 1895 677 }
N7175(43)	{ 679 684 1901 4240 1902 680 }
N7175(44)	{ 3023 3020 3022 6432 3021 4873 }
N7175(45)	{ 3949 3951 3948 3950 }
N7175(46)	{ 3955 3953 4342 2739 3954 }
N7175(47)	{ 4349 3956 4350 3958 2741 4352 3957 4355 2745 2744 }
N7175(48)	{ 690 691 3960 49 1911 4880 3959 3530 }
N7175(49)	{ 696 690 695 1582 3960 48 3529 }
N7175(50)	{ 3961 2750 3962 2751 2753 }
N7175(51)	{ 1584 1585 698 3044 1587 1586 }
N7175(52)	{ 4971 6149 5261 3963 }
N7175(53)	{ 705 1916 7140 706 6299 }
N7175(54)	{ 321 322 991 3200 7139 705 4747 }
N7175(55)	{ 3216 997 3967 3966 2760 }
N7175(56)	{ 3969 3970 3972 3968 3971 }
N7175(57)	{ 201 58 6753 3937 7155 6752 6307 }
N7175(58)	{ 201 6307 57 4711 6690 6306 6689 }
N7175(59)	{ 2768 3977 4392 2767 3978 }
N7175(60)	{ 2880 2875 301 2185 4057 6083 4538 6014 }
N7175(61)	{ 2773 65 2769 7153 6285 5 }
N7175(62)	{ 2769 2773 6724 2770 6894 6725 6890 }
N7175(63)	{ 5716 5718 5717 7077 5715 5713 }
N7175(64)	{ 994 1132 3210 324 1133 5718 5717 9 }
N7175(65)	{ 5 292 319 322 321 61 7052 2773 9 }
N7175(66)	{ 94 203 7 6843 207 6842 }
N7175(67)	{ 841 333 1009 334 1065 93 1006 }
N7175(68)	{ 3647 338 335 3716 337 3715 }
N7175(69)	{ 338 205 337 2209 354 206 6846 6845 353 }
N7175(70)	{ 6843 6844 6845 6846 6847 6849 6848 6842 }
N7175(71)	{ 342 75 341 339 5838 2194 1014 }
N7175(72)	{ 1028 348 4548 1025 1026 }
N7175(73)	{ 349 348 1031 1028 352 }
N7175(74)	{ 1023 211 349 4003 352 212 6831 6830 4002 }
N7175(75)	{ 342 71 339 7056 212 7055 }
N7175(76)	{ 1035 2774 4398 2777 4395 }
N7175(77)	{ 1920 1591 2221 1588 1589 }
N7175(78)	{ 1045 2222 6793 2223 5998 }
N7175(79)	{ 214 370 215 176 2223 365 366 }
N7175(80)	{ 1048 370 369 1047 2225 2228 5779 4268 1054 }
N7175(81)	{ 1930 1925 6002 714 6003 4972 716 }
N7175(82)	{ 718 1935 1592 1936 720 1070 }
N7175(83)	{ 4404 4402 4403 5573 5306 2779 }
N7175(84)	{ 1939 723 1940 725 721 }
N7175(85)	{ 159 160 5785 7062 86 5350 7072 5349 5786 }
N7175(86)	{ 159 89 85 7063 6019 7062 }
N7175(87)	{ 155 164 392 5785 2270 160 }
N7175(88)	{ 1022 2286 2285 1021 6919 5009 869 }
N7175(89)	{ 149 159 158 86 6059 90 6019 }
N7175(90)	{ 149 1305 6059 5082 89 }
N7175(91)	{ 3438 4272 5393 7146 7145 3437 }
N7175(92)	{ 1123 1119 4564 1713 1125 }
N7175(93)	{ 67 1065 1128 333 1714 1130 1131 }
N7175(94)	{ 7 66 203 6291 17 333 }
N7175(95)	{ 4571 4569 3757 4660 1944 3058 }
N7175(96)	{ 3056 408 6817 5716 6904 2929 97 }
N7175(97)	{ 6817 6816 96 6904 6928 6585 6905 }
N7175(98)	{ 5720 5721 5722 5723 5725 5724 5719 }
N7175(99)	{ 5061 879 415 6313 5743 5738 6536 411 6460 }
N7175(100)	{ 419 1138 101 5646 5645 3244 }
N7175(101)	{ 419 4579 102 420 5645 100 4764 }
N7175(102)	{ 419 4274 4579 101 4578 }
N7175(103)	{ 2782 3988 4412 2784 3989 }
N7175(104)	{ 1185 1149 2322 1148 1180 4073 5742 2321 5741 }
N7175(105)	{ 1154 1153 2325 1159 6870 1150 428 }
N7175(106)	{ 4976 4978 6007 4975 4979 }
N7175(107)	{ 3991 3992 3993 5279 3994 3990 }
N7175(108)	{ 4981 137 121 5731 5730 109 }
N7175(109)	{ 4683 4981 4684 5731 3122 108 }
N7175(110)	{ 3997 3998 3999 5923 4000 3996 }
N7175(111)	{ 6936 5705 112 7115 3998 7114 }
N7175(112)	{ 504 477 6937 6936 6616 7114 505 111 }
N7175(113)	{ 6618 6619 6620 6617 7086 7085 6939 }
N7175(114)	{ 440 1178 5043 5044 6316 441 6315 }
N7175(115)	{ 733 732 1594 7002 734 7001 }
N7175(116)	{ 6745 6746 7161 5316 5315 6972 }
N7175(117)	{ 6619 442 6946 6618 6945 6998 6994 6317 }
N7175(118)	{ 2401 455 6996 6995 456 }
N7175(119)	{ 457 120 456 5115 2962 1190 }
N7175(120)	{ 457 22 119 121 4990 4989 1190 }
N7175(121)	{ 22 4989 120 137 5730 435 108 }
N7175(122)	{ 6998 22 6317 7109 435 7108 }
N7175(123)	{ 3941 5896 6814 6833 5714 4007 6924 5901 6815 }
N7175(124)	{ 4006 4005 6913 6741 6738 }
N7175(125)	{ 146 1259 5928 5929 6455 5256 6454 }
N7175(126)	{ 7113 7114 7117 7111 7115 }
N7175(127)	{ 3996 5900 5275 5899 7116 3943 3997 }
N7175(128)	{ 4981 4982 4983 4984 4986 4985 4980 }
N7175(129)	{ 485 1288 2831 244 1291 4983 243 482 }
N7175(130)	{ 511 1291 2831 4418 6443 2787 6426 }
N7175(131)	{ 5184 4419 4008 6009 4987 5931 }
N7175(132)	{ 3277 3447 1727 5245 133 2357 }
N7175(133)	{ 3277 5245 132 6452 5244 3278 }
N7175(134)	{ 477 3781 1285 2364 6623 478 2102 }
N7175(135)	{ 742 740 3782 7005 480 6943 }
N7175(136)	{ 2370 1870 6623 6941 7047 6942 1217 }
N7175(137)	{ 108 4982 4981 483 121 4995 4989 25 }
N7175(138)	{ 4990 4991 4992 4995 4989 4994 }
N7175(139)	{ 482 1235 483 1234 6698 2396 485 }
N7175(140)	{ 1952 1598 746 3380 1597 4883 743 1951 }
N7175(141)	{ 1602 1599 747 6982 1601 6778 }
N7175(142)	{ 1958 1956 3817 750 3296 5817 495 496 }
N7175(143)	{ 3544 1774 752 4078 7020 499 5680 }
N7175(144)	{ 502 505 145 1285 503 504 }
N7175(145)	{ 502 144 254 7113 505 7112 }
N7175(146)	{ 1259 1602 748 2417 1265 5256 1269 125 }
N7175(147)	{ 508 2446 3826 4176 4175 1295 }
N7175(148)	{ 511 4285 515 6039 5037 5025 }
N7175(149)	{ 89 90 1305 4460 1306 4788 158 4456 }
N7175(150)	{ 517 1338 519 5204 521 1300 }
N7175(151)	{ 1302 2969 5204 152 2970 }
N7175(152)	{ 1302 1301 5204 521 151 }
N7175(153)	{ 4012 4013 4015 4011 4014 }
N7175(154)	{ 526 527 525 2452 2456 2455 1311 }
N7175(155)	{ 87 2846 164 1328 4962 1332 160 }
N7175(156)	{ 1317 1329 1330 3300 1316 3299 }
N7175(157)	{ 1606 1603 1605 3382 1604 754 }
N7175(158)	{ 89 4788 149 159 6442 3307 6439 }
N7175(159)	{ 89 86 85 6439 160 158 }
N7175(160)	{ 155 4962 5785 85 87 6439 4970 159 }
N7175(161)	{ 543 539 540 2976 542 2971 }
N7175(162)	{ 4114 1963 5769 6960 6660 4115 }
N7175(163)	{ 6628 6629 6631 6627 6630 }
N7175(164)	{ 87 543 392 542 2846 2842 155 }
N7175(165)	{ 768 571 1607 767 764 }
N7175(166)	{ 5809 5808 2519 6065 562 2516 }
N7175(167)	{ 1975 773 2802 1976 3551 774 2801 }
N7175(168)	{ 3325 5038 3558 4192 5881 3326 5039 }
N7175(169)	{ 1610 3384 1609 3385 1611 1608 }
N7175(170)	{ 4018 4017 5933 4016 1983 }
N7175(171)	{ 38 2803 39 6119 31 580 }
N7175(172)	{ 1490 4951 1481 596 6493 173 1485 }
N7175(173)	{ 172 6493 7120 1490 7119 7118 }
N7175(174)	{ 2636 5072 2637 4122 4953 6158 5701 3488 }
N7175(175)	{ 603 793 3079 1989 602 }
N7175(176)	{ 79 365 608 370 604 940 280 936 }
N7175(177)	{ 624 819 643 640 3343 178 36 }
N7175(178)	{ 624 185 1516 605 3343 1515 177 }
N7175(179)	{ 612 795 1994 4886 3568 794 }
N7175(180)	{ 185 605 4092 37 4091 5765 3142 618 }
N7175(181)	{ 799 798 800 803 5773 3081 5772 }
N7175(182)	{ 2814 2807 2808 4431 4430 2813 }
N7175(183)	{ 2072 1089 2471 539 2466 3885 37 1509 }
N7175(184)	{ 3087 4888 2815 2816 4890 3585 2817 }
N7175(185)	{ 605 178 624 180 3143 1529 3142 }
N7175(186)	{ 2014 3600 2010 809 7167 1529 2013 }
N7175(187)	{ 3072 4629 33 3329 5398 5039 4628 }
N7175(188)	{ 815 810 2020 814 4125 813 811 }
N7175(189)	{ 1560 810 1556 1557 1562 815 1561 }
N7175(190)	{ 819 643 816 6169 3104 4253 }
N7175(191)	{ 648 644 645 823 1571 4812 1573 647 }
N7175(192)	{ 2822 2823 2821 6248 5529 5458 }
N7175(193)	{ 2028 2027 823 2034 2033 2030 }
N7175(194)	{ 5726 5827 5727 3625 1617 6805 6779 1615 }
N7175(195)	{ 6157 4219 827 1618 6528 6525 1621 }
N7175(196)	{ 6633 2041 6637 6632 6948 6634 6636 }
N7175(197)	{ 4019 3390 4222 1623 1624 }
N7175(198)	{ 2046 4339 2045 4255 4998 4996 2042 }
N7175(199)	{ 1629 1628 1625 3391 1627 2048 }
N7175(200)	{ 6166 3937 6981 6165 6753 }
N7175(201)	{ 57 3938 3937 4711 202 58 }
N7175(202)	{ 3938 4246 4245 2904 4711 2905 201 }
N7175(203)	{ 207 66 94 333 845 841 10 }
N7175(204)	{ 844 843 3645 2055 842 845 }
N7175(205)	{ 206 69 338 844 843 10 }
N7175(206)	{ 205 10 6845 6844 69 }
N7175(207)	{ 203 66 6844 10 6843 }
N7175(208)	{ 342 213 341 2060 4266 2195 3650 }
N7175(209)	{ 2057 3649 846 2056 6850 1018 2062 }
N7175(210)	{ 5051 4547 6850 2062 1019 }
N7175(211)	{ 213 212 74 11 1023 6045 2064 2201 }
N7175(212)	{ 211 342 213 6830 74 7056 6829 75 }
N7175(213)	{ 211 342 212 2060 208 11 }
N7175(214)	{ 79 215 366 1867 653 1046 }
N7175(215)	{ 370 79 214 369 653 5326 4096 2235 }
N7175(216)	{ 5328 5327 6851 3721 2248 }
N7175(217)	{ 1866 850 851 2247 2066 13 }
N7175(218)	{ 219 382 1078 2069 2068 5054 14 853 }
N7175(219)	{ 14 218 5351 382 220 }
N7175(220)	{ 5351 219 14 6852 7062 7061 5350 }
N7175(221)	{ 6855 6856 6854 7066 6857 7065 }
N7175(222)	{ 5055 855 6719 5728 858 6857 856 857 }
N7175(223)	{ 224 543 392 2072 15 539 }
N7175(224)	{ 223 860 15 225 1091 391 392 }
N7175(225)	{ 224 391 1697 860 3734 1082 1051 }
N7175(226)	{ 870 227 6918 6057 6919 6024 869 }
N7175(227)	{ 861 870 16 226 6061 6057 228 }
N7175(228)	{ 861 862 1099 6061 227 6571 5084 5085 }
N7175(229)	{ 862 861 2076 863 865 }
N7175(230)	{ 869 870 868 2081 3657 2082 871 }
N7175(231)	{ 2937 2717 2932 6638 5585 876 }
N7175(232)	{ 5057 875 6786 6512 6929 874 6418 }
N7175(233)	{ 5421 4313 6788 4312 6813 6541 411 }
N7175(234)	{ 6302 6303 6305 6304 4680 }
N7175(235)	{ 20 439 4449 2824 2944 4977 1170 236 }
N7175(236)	{ 4977 235 437 5733 20 5729 }
N7175(237)	{ 436 5730 5731 5733 5732 5729 }
N7175(238)	{ 239 885 5732 884 5731 }
N7175(239)	{ 884 238 885 883 6375 3121 3126 }
N7175(240)	{ 3658 2825 4449 2824 4022 }
N7175(241)	{ 2827 890 5125 2826 2828 }
N7175(242)	{ 24 2335 889 4597 460 4984 4596 243 }
N7175(243)	{ 244 24 129 4984 242 4983 }
N7175(244)	{ 243 24 129 2830 4026 4025 2831 }
N7175(245)	{ 4025 5291 4024 5292 4023 4451 4026 }
N7175(246)	{ 895 2346 4936 3768 5694 2095 891 }
N7175(247)	{ 1630 3393 893 3394 1631 1632 }
N7175(248)	{ 2100 2098 897 2099 7172 896 7121 }
N7175(249)	{ 1872 2104 657 4453 2833 3784 }
N7175(250)	{ 1239 2106 1242 4999 3664 4690 }
N7175(251)	{ 2110 2115 2111 3135 906 3496 904 2114 }
N7175(252)	{ 1876 662 253 6402 7043 7042 1778 }
N7175(253)	{ 254 1576 662 911 6402 502 252 }
N7175(254)	{ 502 253 3396 911 2419 7112 1269 145 }
N7175(255)	{ 1635 2118 2116 1636 3395 1634 1637 }
N7175(256)	{ 6574 7138 2957 7174 2119 1293 }
N7175(257)	{ 2839 2840 2838 7027 2837 7026 4458 }
N7175(258)	{ 520 518 2838 2839 6839 6838 259 }
N7175(259)	{ 520 523 6384 1304 258 6840 6839 6383 }
N7175(260)	{ 6386 2797 6383 6841 526 6840 }
N7175(261)	{ 4460 1306 4459 6841 525 6836 }
N7175(262)	{ 2123 2974 2975 6759 6758 2128 }
N7175(263)	{ 917 918 916 2127 2126 919 }
N7175(264)	{ 555 4184 1364 918 6296 6295 2845 }
N7175(265)	{ 2843 2842 4081 4080 2844 }
N7175(266)	{ 2842 542 2975 6298 2843 6292 }
N7175(267)	{ 4462 1390 6676 6672 273 }
N7175(268)	{ 6676 32 6675 7036 269 7034 }
N7175(269)	{ 32 921 4792 7036 4793 268 }
N7175(270)	{ 921 920 922 5238 1639 3397 }
N7175(271)	{ 2848 920 1639 2847 5942 5734 2849 }
N7175(272)	{ 2851 4463 2850 5734 4464 2847 }
N7175(273)	{ 4463 4462 2851 6676 267 32 }
N7175(274)	{ 3402 4854 1880 924 3399 6379 5848 1640 }
N7175(275)	{ 2132 4797 929 1462 5683 2130 925 }
N7175(276)	{ 925 1642 928 5071 930 929 }
N7175(277)	{ 1644 1645 1646 3403 1647 1643 }
N7175(278)	{ 5997 5735 6485 5737 4847 }
N7175(279)	{ 940 2138 937 936 3498 938 939 }
N7175(280)	{ 176 940 1882 6145 6143 608 }
N7175(281)	{ 4029 4467 2853 4032 5295 4030 4031 }
N7175(282)	{ 3408 1651 4473 1652 2858 }
N7175(283)	{ 6641 6643 6642 6644 640 6640 }
N7175(284)	{ 651 1892 1581 953 1580 3680 951 3679 }
N7175(285)	{ 675 287 6308 286 6309 306 674 }
N7175(286)	{ 287 292 291 6308 285 7154 6307 5 }
N7175(287)	{ 286 285 675 5775 676 291 }
N7175(288)	{ 677 3633 676 6337 3634 5775 }
N7175(289)	{ 955 2153 958 954 6633 956 957 }
N7175(290)	{ 960 1654 3411 1657 3412 1655 1656 }
N7175(291)	{ 286 292 680 293 5775 287 679 }
N7175(292)	{ 286 5 291 319 293 65 }
N7175(293)	{ 292 319 291 680 4100 4099 320 }
N7175(294)	{ 4474 2860 4476 2861 2862 }
N7175(295)	{ 5377 684 5775 5376 679 }
N7175(296)	{ 297 686 3693 3692 1907 4141 961 3185 }
N7175(297)	{ 961 296 686 3016 958 6637 3017 6632 }
N7175(298)	{ 3150 4636 3157 2865 4705 3154 3158 }
N7175(299)	{ 5000 4034 4485 5296 4033 5001 }
N7175(300)	{ 3528 4481 4242 4876 6255 4482 5547 }
N7175(301)	{ 2875 4057 60 4153 3947 2909 }
N7175(302)	{ 4036 2870 4496 4035 2871 }
N7175(303)	{ 1660 3415 1658 1662 }
N7175(304)	{ 2874 2873 3684 2157 2872 }
N7175(305)	{ 4499 2876 4038 4504 4037 4039 }
