
***             Voronoi Diagram k = 7175         ***
index	sx	sy	ls	mi
        1	    627	    110	      6.08	       110
        2	    716	      4	      4.58	        23
        3	    767	    167	      11.2	        93
        4	    733	    238	      14.1	        69
        5	    647	    203	      33.4	        84
        6	    667	    350	      39.3	        87
        7	    775	    352	      40.8	        66
        8	    653	    283	      41.5	        78
        9	    580	    219	      23.4	        79
       10	    720	    439	      14.4	        74
       11	    554	    390	      9.54	        60
       12	    555	    316	      17.8	        69
       13	    683	    511	      7.28	        20
       14	    550	    502	      9.85	        55
       15	    598	    589	      14.9	        42
       16	    474	    463	      8.49	        44
       17	    787	    487	      14.2	        49
       18	    769	    586	      32.7	        49
       19	    470	    218	       4.8	        15
       20	    316	    188	      7.68	       106
       21	    399	    269	      10.8	        71
       22	    289	    268	      26.3	        79
       23	    480	    314	      10.2	        67
       24	    239	    145	      10.3	        76
       25	    215	    234	      19.8	        94
       26	    420	    397	         4	      73.5
       27	    115	     81	      26.2	       142
       28	    417	    552	      7.62	        80
       29	    486	    598	      6.78	        89
       30	    542	    651	      4.58	        87
       31	    348	    674	      66.2	        19
       32	    351	    491	      8.31	        65
       33	    199	    648	      84.5	        19
       34	    276	    721	      88.3	        19
       35	    680	    598	       4.8	        19
       36	    746	    659	      24.5	        52
       37	    631	    658	      21.4	        54
       38	    367	    743	      67.7	        19
       39	    452	    750	      49.5	        19
       40	    552	    757	      27.1	        19
       41	    179	    736	        79	        19
       42	    664	    131	      8.54	        82
       43	    617	    141	      6.86	        87
       44	    650	     77	      3.46	      95.5
       45	    766	     95	         4	       116
       46	    708	    125	      2.83	       106
       47	    700	    120	      3.87	        18
       48	    688	     67	      2.65	       116
       49	    690	     65	      2.83	      27.5
       50	    545	     74	      2.45	        60
       51	    544	     84	      3.16	        87
       52	    463	     88	      14.5	        19
       53	    587	    160	       5.1	      87.5
       54	    585	    174	      11.2	      82.5
       55	    538	    183	      3.46	       142
       56	    509	    147	      4.24	       128
       57	    728	    179	      22.3	       101
       58	    725	    158	      18.1	        78
       59	    781	    125	      3.32	        16
       60	    788	     75	      11.2	       144
       61	    625	    231	      34.3	        95
       62	    593	    263	      18.4	        95
       63	    542	    246	        15	        81
       64	    554	    212	      18.8	        71
       65	    603	    203	        29	        84
       66	    771	    423	      33.7	        65
       67	    733	    474	      16.1	      60.5
       68	    688	    451	      10.4	        66
       69	    687	    424	      20.7	        74
       70	    724	    390	        31	        71
       71	    589	    382	        15	        78
       72	    513	    396	      8.94	        19
       73	    513	    382	        10	      71.5
       74	    534	    363	      20.2	        62
       75	    582	    364	      19.9	       100
       76	    653	    452	      5.66	      71.5
       77	    615	    402	       5.2	        20
       78	    721	    526	      8.54	        67
       79	    699	    547	      19.1	        44
       80	    663	    542	      9.33	        55
       81	    674	    484	      2.65	        65
       82	    714	    498	      5.57	        54
       83	    390	    117	         5	       150
       84	    590	    512	      4.58	        45
       85	    529	    542	      22.3	        44
       86	    507	    529	      21.9	        44
       87	    549	    582	      22.1	        45
       88	    508	    454	      12.8	        40
       89	    487	    519	      20.3	        44
       90	    474	    515	      16.3	        42
       91	    481	    419	      6.24	        17
       92	    757	    517	      9.59	        19
       93	    750	    486	      15.5	        61
       94	    780	    448	      27.3	        62
       95	    505	    203	      6.24	        19
       96	    510	    241	      12.8	        58
       97	    500	    247	      9.17	      54.5
       98	    458	    248	      3.16	       120
       99	    442	    218	      8.94	        89
      100	    466	    177	      6.56	        85
      101	    472	    169	      8.19	        95
      102	    478	    172	      6.24	       122
      103	    439	    160	      3.16	      96.5
      104	    413	    205	      12.3	       105
      105	    375	    207	      9.38	      95.5
      106	    343	    206	      5.74	        97
      107	    332	    222	      6.24	        63
      108	    277	    216	      23.2	        72
      109	    274	    199	      16.7	        72
      110	    431	    272	      12.6	        77
      111	    410	    304	        18	        80
      112	    393	    318	      19.6	        73
      113	    362	    298	      13.2	        76
      114	    364	    254	      9.85	        76
      115	    376	    239	      3.46	       150
      116	    413	    239	      3.46	       130
      117	    330	    293	      20.2	        82
      118	    291	    317	      12.7	        83
      119	    260	    296	      17.9	       104
      120	    261	    277	      23.7	        96
      121	    274	    243	      28.6	        79
      122	    317	    259	      22.8	        77
      123	    510	    288	      19.5	        69
      124	    499	    333	      11.5	      64.5
      125	    477	    361	      15.5	        75
      126	    433	    326	      15.6	        65
      127	    456	    285	      15.2	        82
      128	    246	    180	        14	       115
      129	    210	    160	      19.5	        81
      130	    191	    136	      20.9	       150
      131	    212	    102	         7	        19
      132	    206	    311	      8.12	        19
      133	    209	    302	      6.24	        19
      134	    371	    358	      16.5	        87
      135	    313	    348	      9.22	        76
      136	    344	    349	        13	        81
      137	    245	    225	      28.2	        71
      138	    225	    267	      17.6	       102
      139	    201	    196	      13.5	        71
      140	    238	    335	      6.24	        19
      141	    461	    396	         5	        82
      142	    410	    441	      6.63	        78
      143	    393	    425	      6.93	      83.5
      144	    400	    358	      16.5	        77
      145	    421	    358	      18.2	        82
      146	    462	    378	      14.8	      80.5
      147	     97	    161	      11.4	       119
      148	    158	    146	      16.6	       150
      149	    466	    534	      19.7	        46
      150	    422	    592	      9.75	        22
      151	    404	    605	        15	        19
      152	    402	    593	      11.7	        19
      153	    385	    545	      3.32	        70
