
*** Voronoi Diagram Neighbours k = 751 ***
Seed	Neighbours
N751(1)	{ 253 97 2 348 57 343 }
N751(2)	{ 1 115 575 343 571 }
N751(3)	{ 295 443 444 614 653 405 652 }
N751(4)	{ 740 633 742 243 731 }
N751(5)	{ 577 578 579 582 508 580 }
N751(6)	{ 390 329 377 304 505 504 121 }
N751(7)	{ 195 526 670 669 }
N751(8)	{ 116 115 51 165 65 126 }
N751(9)	{ 177 181 180 73 212 28 25 481 176 61 }
N751(10)	{ 25 246 245 195 213 479 158 357 }
N751(11)	{ 475 36 37 553 739 455 554 }
N751(12)	{ 41 42 424 439 515 553 516 38 }
N751(13)	{ 425 426 427 429 431 430 424 }
N751(14)	{ 623 657 619 624 710 656 697 }
N751(15)	{ 348 343 436 344 345 551 546 347 }
N751(16)	{ 129 128 194 368 132 299 570 32 468 }
N751(17)	{ 32 103 205 104 30 426 425 35 }
N751(18)	{ 239 712 441 206 524 745 743 733 }
N751(19)	{ 434 433 435 432 351 }
N751(20)	{ 200 151 199 201 150 198 }
N751(21)	{ 45 278 200 154 510 509 279 }
N751(22)	{ 280 43 403 655 706 430 656 }
N751(23)	{ 353 547 352 658 652 617 }
N751(24)	{ 101 297 183 570 103 102 }
N751(25)	{ 148 74 73 195 212 9 213 79 10 }
N751(26)	{ 27 50 635 46 362 651 156 648 }
N751(27)	{ 46 26 35 427 426 50 }
N751(28)	{ 61 62 64 212 124 9 }
N751(29)	{ 204 734 378 735 716 733 }
N751(30)	{ 206 205 425 17 424 750 93 439 }
N751(31)	{ 277 69 400 276 275 }
N751(32)	{ 17 368 35 570 103 16 }
N751(33)	{ 128 76 75 727 147 149 }
N751(34)	{ 108 131 135 107 134 185 105 106 }
N751(35)	{ 46 368 32 136 426 17 27 }
N751(36)	{ 37 201 198 475 11 714 350 40 }
N751(37)	{ 36 199 198 553 11 38 }
N751(38)	{ 199 41 553 12 37 }
N751(39)	{ 151 45 153 150 152 }
N751(40)	{ 201 150 36 715 613 714 }
N751(41)	{ 12 38 199 510 509 42 }
N751(42)	{ 12 424 510 41 431 }
N751(43)	{ 280 22 430 510 279 431 }
N751(44)	{ 278 279 402 155 403 281 280 }
N751(45)	{ 39 154 151 152 278 155 21 }
N751(46)	{ 27 35 136 635 138 26 }
N751(47)	{ 84 383 83 214 518 81 215 }
N751(48)	{ 382 355 718 356 717 }
N751(49)	{ 208 699 207 698 }
N751(50)	{ 26 207 156 27 427 498 161 497 }
N751(51)	{ 89 85 126 125 8 460 66 116 }
N751(52)	{ 89 166 520 85 519 }
N751(53)	{ 54 90 485 511 749 438 583 }
N751(54)	{ 53 90 437 751 440 438 }
N751(55)	{ 110 596 290 615 111 512 }
N751(56)	{ 117 116 227 724 118 388 }
N751(57)	{ 1 348 677 673 253 }
N751(58)	{ 95 626 625 550 674 587 586 }
N751(59)	{ 187 162 121 506 625 95 624 }
N751(60)	{ 162 121 643 250 329 }
N751(61)	{ 28 62 481 448 9 }
N751(62)	{ 64 28 63 448 447 61 }
N751(63)	{ 64 85 447 86 62 }
N751(64)	{ 62 63 28 85 164 125 124 }
N751(65)	{ 8 212 165 }
N751(66)	{ 51 462 282 460 540 89 283 }
N751(67)	{ 400 296 540 89 275 }
N751(68)	{ 167 168 400 296 401 276 91 }
N751(69)	{ 277 31 276 437 70 485 401 90 }
N751(70)	{ 69 703 437 746 277 110 }
N751(71)	{ 283 284 461 282 285 }
N751(72)	{ 73 181 374 727 406 148 }
N751(73)	{ 148 25 181 9 72 }
N751(74)	{ 79 25 193 148 78 }
N751(75)	{ 129 128 33 193 149 127 }
N751(76)	{ 33 128 147 194 468 299 288 }
N751(77)	{ 127 105 130 132 129 131 }
N751(78)	{ 193 74 265 185 79 }
N751(79)	{ 74 25 78 265 584 266 213 }
N751(80)	{ 134 136 133 137 135 81 }
N751(81)	{ 80 138 84 136 518 137 47 }
N751(82)	{ 215 186 214 584 382 266 }
N751(83)	{ 383 47 84 649 585 360 }
N751(84)	{ 47 81 585 83 635 138 362 }
N751(85)	{ 63 89 125 51 64 520 52 86 }
N751(86)	{ 63 447 85 520 523 450 521 }
N751(87)	{ 139 167 88 140 711 143 238 }
N751(88)	{ 87 168 167 519 139 166 }
N751(89)	{ 51 85 52 296 166 540 67 66 }
N751(90)	{ 437 438 54 485 69 53 }
N751(91)	{ 167 68 401 511 92 143 485 }
N751(92)	{ 145 511 91 146 711 143 144 }
N751(93)	{ 206 712 713 750 30 749 }
N751(94)	{ 588 587 675 590 674 }
N751(95)	{ 187 588 393 587 625 58 59 }
N751(96)	{ 386 385 451 219 218 }
N751(97)	{ 1 172 369 253 259 742 173 }
N751(98)	{ 243 173 174 317 639 340 240 }
N751(99)	{ 264 363 332 445 179 178 }
N751(100)	{ 183 182 363 184 286 }
N751(101)	{ 183 24 182 288 287 102 }
N751(102)	{ 101 288 570 24 468 }
N751(103)	{ 17 567 297 104 570 24 32 }
N751(104)	{ 17 103 567 736 568 205 }
N751(105)	{ 131 108 77 185 106 34 130 }
N751(106)	{ 105 34 222 107 185 }
N751(107)	{ 34 222 106 267 186 135 }
N751(108)	{ 105 134 34 131 }
N751(109)	{ 289 223 290 225 224 }
N751(110)	{ 290 55 224 703 111 746 285 70 }
N751(111)	{ 55 615 703 110 616 }
N751(112)	{ 516 515 514 113 615 513 512 }
N751(113)	{ 112 512 516 517 738 556 553 }
N751(114)	{ 364 556 517 557 367 292 }
N751(115)	{ 8 227 116 571 2 120 }
N751(116)	{ 8 227 56 115 460 51 117 }
N751(117)	{ 56 116 460 595 462 118 }
N751(118)	{ 595 117 724 56 463 }
