
***             Voronoi Diagram k =  471         ***
index	sx	sy	ls	mi
        1	    220	     22	      54.9	       172
        2	    235	     72	      45.3	       169
        3	    141	    129	      8.66	       308
        4	     14	     12	      19.7	        91
        5	     71	    167	      19.3	       209
        6	     21	    116	      38.1	       153
        7	      5	    240	        15	      75.4
        8	    246	    184	      26.3	       157
        9	    158	    249	      15.9	       185
       10	     75	    249	      16.9	       212
       11	    175	    142	      12.6	       257
       12	    130	    170	      15.2	       208
       13	     97	    124	      24.6	       165
       14	    152	     80	      24.3	       173
       15	    129	    221	      6.32	       213
       16	    139	    203	      14.7	       156
       17	    169	    206	      8.54	       205
       18	    157	    122	         6	       291
       19	    150	    140	         4	       508
       20	    145	    144	       4.9	       409
       21	    117	    140	      18.1	       188
       22	    134	    116	      12.9	       218
       23	    140	    224	      4.12	       321
       24	    122	    250	      13.9	       218
       25	    102	    208	      11.7	       159
       26	    203	    246	      19.3	       128
       27	    163	    214	         7	       216
       28	    155	    192	        15	       179
       29	    191	    190	      4.24	       629
       30	    133	    216	      9.54	       163
       31	    130	    230	       5.1	       368
       32	    119	    227	      3.16	  1.11e+03
       33	    122	    215	      9.27	       169
       34	    125	    204	      12.6	       155
       35	    163	    138	      8.83	       272
       36	    163	    148	      10.4	       232
       37	    158	    156	      11.2	       226
       38	    148	    139	      3.61	       685
       39	    152	    136	      5.29	       390
       40	    150	    160	      11.2	       204
       41	    135	    153	      8.89	       318
       42	    140	    142	      4.24	       458
       43	    145	    141	      3.32	       762
       44	    113	    204	      13.9	       155
       45	    109	    224	      3.87	       549
       46	    101	    228	      5.74	       355
       47	     79	    213	      7.35	       230
       48	     98	    193	      16.6	       179
       49	    215	    199	      17.3	       155
       50	    195	    206	      6.63	       210
       51	    181	    190	       5.1	       368
       52	    180	    185	      4.58	       357
       53	    190	    174	      4.47	       328
       54	    212	    168	      10.9	       209
       55	    145	     22	      39.7	       138
       56	     98	     78	      19.4	       199
       57	    184	    245	      18.8	       128
       58	    191	    228	      14.2	       159
       59	    202	    223	      15.5	       144
       60	    239	    243	        24	       148
       61	    203	    189	      7.35	       223
       62	    194	    194	      5.48	       288
       63	    188	    194	      4.24	       746
       64	    188	    190	      3.74	       619
       65	    189	    184	       5.1	       475
       66	    196	    185	      3.74	       403
       67	    138	    249	      14.4	       231
       68	    127	    239	      10.2	       197
       69	    127	    227	      4.24	       761
       70	    132	    226	       4.8	       610
       71	    123	    226	      3.61	  1.03e+03
       72	    120	    236	      7.14	       196
       73	    115	    240	      9.64	       201
       74	    117	    224	      3.74	       478
       75	    112	    222	      4.12	       283
       76	    110	    231	       4.9	       301
       77	    103	    223	      5.48	       385
       78	    109	    220	       4.8	       261
       79	    201	    211	      11.7	       181
       80	    188	    217	      9.64	       192
       81	    185	    201	      3.32	       727
       82	    187	    199	      3.61	       729
       83	    199	    201	      8.06	       206
       84	    185	    188	      4.47	       447
       85	    184	    195	      4.69	       588
       86	    182	    198	      3.87	       650
       87	    169	    195	      9.38	       196
       88	    169	    188	      9.49	       208
       89	    104	     57	      17.1	       144
       90	     71	     37	         4	       507
       91	     85	      8	        19	       121
       92	     42	     14	      15.2	       114
       93	    149	    227	      4.24	       567
       94	    146	    229	         4	       387
       95	    138	    227	      3.87	       627
       96	    136	    224	       4.9	       253
       97	    140	    218	      7.07	       184
       98	    146	    215	      8.31	       178
       99	    116	    228	      2.45	       954
      100	    244	    142	      30.4	       163
      101	    226	    175	      21.8	       156
      102	    209	    176	      9.27	       218
      103	    203	    173	      5.48	       267
      104	    199	    160	      3.87	       531
      105	    217	    142	      19.7	       165
      106	     59	     46	      9.38	       157
      107	     49	     36	      3.61	       674
      108	    219	    243	      19.8	       167
      109	    216	    213	      15.7	       142
      110	    240	    209	      23.9	       149
      111	    124	    223	      4.69	       316
      112	    120	    222	       5.2	       231
      113	    115	    226	         2	       994
      114	    114	    217	      8.25	       182
      115	    114	    225	      2.83	       714
      116	    185	    206	         5	       378
      117	    180	    209	      5.39	       383
      118	    181	    203	      4.12	       509
      119	    179	    201	      3.87	       465
      120	    175	    199	      6.32	       277
      121	    178	    194	      6.08	       273
      122	     23	     27	      10.5	       215
      123	    134	    233	      6.71	       191
      124	    144	    137	      3.61	       611
      125	    147	    134	      4.69	       497
      126	    143	    140	      3.16	       710
      127	     90	    210	      10.4	       172
      128	     86	    219	      7.68	       284
      129	     78	    229	      11.6	       219
      130	     55	    228	      10.2	       209
      131	     51	    196	      13.6	       157
      132	     77	    195	      13.2	       164
      133	     42	     83	        30	       139
      134	     29	     44	      6.48	       193
      135	    221	    225	      18.1	       140
      136	    243	    226	      21.1	       153
      137	    191	    199	      5.39	       297
      138	     84	     35	      4.24	       262
      139	     64	     33	      4.36	       352
      140	     65	     27	      5.83	       176
      141	     68	     18	      13.9	       130
      142	     57	      8	      16.5	       117
      143	     54	     22	      9.85	       157
      144	     36	     31	      5.39	       270
      145	    159	    232	      7.68	       204
      146	    154	    234	      7.94	       202
      147	    146	    225	      2.83	       356
      148	    152	    220	      5.83	       238
      149	    149	    233	      6.08	       217
      150	    147	    241	      10.7	       204
      151	    142	    229	      4.36	       488
      152	    145	    226	      2.83	       522
      153	    118	    230	      3.74	       359
      154	    114	    230	      4.12	       272
      155	     72	     59	      15.6	       143
      156	     64	     76	        23	       153
      157	     52	     57	      17.4	       132
      158	     60	     34	      3.87	       583
      159	     46	     49	      8.37	       157
      160	     38	     36	      3.61	       640
      161	     23	    250	      17.3	      94.2
      162	      2	    201	      3.74	       325
      163	     17	    227	      9.64	       205
      164	    156	    142	      7.35	       296
      165	    151	    144	      5.57	       353
      166	    170	    215	      6.78	       306
      167	    170	    221	      5.83	       283
      168	    159	    218	      5.74	       240
      169	    152	    209	      10.7	       175
      170	    160	    205	      10.2	       164
      171	    121	    229	      3.61	       459
      172	    194	    176	      3.32	       447
      173	    192	    179	      4.47	       424
      174	    187	    178	       4.9	       423
      175	    181	    171	      6.56	       222
      176	    183	    165	      8.19	       219
      177	    194	    169	      3.87	       458
      178	     76	     37	         4	       487
      179	     72	     43	      6.16	       174
      180	     68	     38	      4.24	       278
      181	     70	     34	         3	       530
      182	     72	     32	      3.61	       264
      183	    201	    177	       4.9	       287
      184	    198	    170	      4.24	       539
      185	    202	    169	      5.48	       294
      186	    217	    158	      16.8	       172
      187	    199	    164	         4	       467
      188	    196	    165	         4	       514
      189	    187	    160	      5.92	       256
      190	    195	    149	      5.83	       349
      191	     53	     37	      3.46	       457
      192	     51	     42	      6.24	       180
      193	     47	     39	      3.32	       306
      194	     46	     34	      2.65	       524
      195	     49	     33	      3.87	       362
      196	     30	     13	      16.5	       107
      197	     28	     34	       5.1	       359
      198	      5	     40	      7.48	       401
      199	     67	    225	        10	       251
      200	     64	    238	        15	       185
      201	     49	    248	      18.8	       157
      202	     35	    221	      8.83	       300
      203	     61	    215	       5.2	       585
      204	     35	     48	      7.55	       168
      205	      7	     46	      8.83	       320
      206	     30	     38	      4.24	       581
      207	    114	     13	      27.1	       126
      208	    102	     33	      14.4	       153
      209	     93	     41	         8	       285
      210	     86	     42	      7.81	       177
      211	     81	     36	         3	       441
      212	     80	     30	      5.48	       204
      213	     81	     22	        11	       144
      214	     67	     34	      3.46	       459
      215	     65	     36	         3	       712
      216	     61	     26	      6.93	       194
      217	    156	    221	      4.36	       457
      218	    153	    225	      5.66	       402
      219	     62	     37	      3.32	       512
      220	     57	     36	      2.65	       625
      221	     58	     30	         5	       232
      222	     41	     33	      3.46	       501
      223	     41	     38	      2.65	       485
      224	     37	     40	       4.9	       277
      225	     34	     36	      3.46	       612
      226	    194	    188	      4.36	       549
      227	    106	    226	      3.74	       525
      228	    125	    230	      5.29	       294
      229	    104	    249	      14.7	       189
      230	    107	    229	      4.69	       376
      231	    138	    230	      4.58	       375
      232	    195	    161	      4.12	       540
      233	    194	    157	      4.24	       462
      234	    200	    157	      4.69	       304
      235	    176	    207	      6.32	       302
      236	    140	    236	      8.49	       201
      237	    112	    228	      3.46	       693
      238	    196	    178	      3.87	       523
      239	     66	     46	      9.11	       163
      240	     55	     39	      4.47	       232
      241	     53	     34	      2.65	       695
      242	     46	     42	       4.8	       186
      243	     45	     37	      2.45	       509
      244	     45	     35	      1.73	       700
      245	     45	     30	      3.74	       301
      246	     53	     30	       4.8	       240
      247	     46	     27	      6.08	       204
      248	     50	     26	      5.74	       212
      249	     13	     40	      6.08	       441
      250	      6	     33	      8.49	       281
      251	     67	    216	      6.71	       460
      252	     60	    221	      7.14	       291
      253	     53	    216	         3	       540
      254	     60	    202	      8.72	       159
      255	     64	    211	      6.08	       261
      256	     17	     53	      12.3	       167
      257	     14	     80	      28.5	       155
      258	     16	     44	      6.86	       352
      259	     70	     28	      5.83	       210
      260	     64	     40	         5	       223
      261	     59	     38	      3.87	       290
      262	     55	     34	      2.83	       568
      263	     42	     30	         4	       273
      264	     42	     35	      2.45	       656
      265	     39	     26	      8.54	       203
      266	     42	     37	      1.73	       588
      267	     42	     41	       5.1	       180
      268	    172	    126	      12.2	       204
      269	    157	    127	      5.66	       379
      270	    151	    126	      6.63	       355
      271	    145	    120	        10	       291
      272	    151	    110	      12.5	       233
      273	    177	    100	      20.8	       172
      274	    139	    146	         6	       384
      275	    132	    146	      9.43	       277
      276	    137	    139	      4.69	       381
      277	     33	     41	      4.69	       285
      278	     29	     57	      17.8	       139
      279	     23	     45	      7.14	       214
      280	     25	     41	      4.58	       523
      281	     93	     24	      14.5	       128
      282	     91	     34	      7.75	       223
      283	     87	     37	       4.9	       364
      284	     85	     30	      6.71	       187
      285	     14	    161	      31.4	       161
      286	     17	    202	      6.24	       461
      287	      4	    215	         8	       280
      288	     77	     42	         5	       205
      289	     75	     34	      3.61	       377
      290	     24	     37	       5.2	       509
      291	     30	     28	      8.31	       239
      292	     44	    224	      8.12	       234
      293	     46	    233	      12.1	       152
      294	     34	    234	      12.8	       135
      295	     40	    216	      6.32	       325
      296	     80	     39	      4.36	       431
      297	     79	     34	      3.32	       300
      298	    198	    191	      5.48	       253
      299	     56	    213	      4.12	       474
      300	     55	    218	         5	       310
      301	     50	    222	      6.56	       269
      302	     47	    214	       4.9	       399
      303	    165	    114	      14.7	       192
      304	    162	    124	      7.55	       275
