
*** Voronoi Diagram Neighbours k = 774 ***
Seed	Neighbours
N774(1)	{ 14 52 91 13 463 148 110 }
N774(2)	{ 454 310 393 662 394 661 }
N774(3)	{ 645 241 646 644 746 745 647 }
N774(4)	{ 468 422 469 654 653 586 741 521 102 }
N774(5)	{ 426 764 487 766 459 486 }
N774(6)	{ 492 678 491 677 }
N774(7)	{ 114 25 548 113 547 }
N774(8)	{ 25 22 407 408 677 676 }
N774(9)	{ 561 560 697 395 699 530 696 }
N774(10)	{ 115 227 247 113 11 319 318 231 }
N774(11)	{ 247 10 248 438 318 437 }
N774(12)	{ 34 196 18 636 37 135 }
N774(13)	{ 1 148 556 328 555 748 744 14 }
N774(14)	{ 1 695 398 52 399 748 13 747 }
N774(15)	{ 30 27 31 574 26 47 }
N774(16)	{ 130 326 325 362 68 67 }
N774(17)	{ 129 134 146 130 329 147 325 }
N774(18)	{ 108 196 195 12 34 296 236 89 }
N774(19)	{ 386 292 774 76 59 }
N774(20)	{ 180 184 179 387 182 181 }
N774(21)	{ 35 31 136 36 48 }
N774(22)	{ 259 40 25 407 8 139 480 479 283 }
N774(23)	{ 337 338 339 340 341 499 342 336 }
N774(24)	{ 497 498 499 501 500 496 }
N774(25)	{ 8 7 114 115 259 22 258 }
N774(26)	{ 30 29 28 15 749 208 574 }
N774(27)	{ 30 15 31 29 539 484 35 }
N774(28)	{ 180 46 26 29 423 208 194 }
N774(29)	{ 30 208 26 28 27 538 484 180 179 }
N774(30)	{ 27 15 29 26 }
N774(31)	{ 35 27 15 48 21 47 }
N774(32)	{ 35 65 221 36 362 66 68 }
N774(33)	{ 221 68 543 542 635 540 541 }
N774(34)	{ 12 48 37 236 18 47 684 574 }
N774(35)	{ 31 36 21 32 539 65 27 }
N774(36)	{ 35 21 32 541 221 136 }
N774(37)	{ 34 48 635 136 636 540 12 }
N774(38)	{ 39 263 259 730 260 262 }
N774(39)	{ 259 38 497 260 40 }
N774(40)	{ 259 22 139 39 498 337 497 }
N774(41)	{ 501 500 645 173 42 709 341 174 }
N774(42)	{ 645 41 716 322 733 501 607 }
N774(43)	{ 668 669 671 353 670 }
N774(44)	{ 314 69 739 504 735 }
N774(45)	{ 686 193 684 749 423 574 }
N774(46)	{ 180 194 28 386 59 181 }
N774(47)	{ 48 31 574 15 34 }
N774(48)	{ 31 47 34 136 21 37 }
N774(49)	{ 223 224 222 346 226 225 }
N774(50)	{ 105 225 313 352 763 388 347 }
N774(51)	{ 369 368 577 616 576 578 }
N774(52)	{ 1 91 276 92 695 14 53 }
N774(53)	{ 276 404 80 81 695 52 694 }
N774(54)	{ 80 404 719 405 403 }
N774(55)	{ 547 550 685 632 684 }
N774(56)	{ 248 249 247 633 250 549 }
N774(57)	{ 249 294 293 437 183 248 }
N774(58)	{ 293 294 386 292 295 }
N774(59)	{ 386 46 423 194 774 19 193 }
N774(60)	{ 86 119 364 163 85 }
N774(61)	{ 425 486 390 426 }
N774(62)	{ 119 118 458 120 122 }
N774(63)	{ 472 234 233 756 212 211 }
N774(64)	{ 580 581 582 584 579 583 }
N774(65)	{ 32 66 539 359 35 }
N774(66)	{ 65 359 360 362 32 361 }
N774(67)	{ 182 184 362 361 16 552 326 183 }
N774(68)	{ 221 362 32 16 542 33 130 }
