
*** Voronoi Diagram Neighbours k = 180 ***
Seed	Neighbours
N180(1)	{ 13 14 57 30 71 49 12 }
N180(2)	{ 75 133 76 115 154 74 116 }
N180(3)	{ 121 105 148 93 }
N180(4)	{ 98 84 143 141 97 }
N180(5)	{ 120 100 126 119 118 }
N180(6)	{ 155 148 144 168 113 167 }
N180(7)	{ 37 69 8 65 162 77 68 }
N180(8)	{ 37 39 38 69 24 7 }
N180(9)	{ 44 29 53 80 128 127 94 }
N180(10)	{ 45 16 50 56 32 51 }
N180(11)	{ 25 26 52 40 27 }
N180(12)	{ 13 71 41 1 70 }
N180(13)	{ 1 14 28 70 12 43 }
N180(14)	{ 13 29 28 30 1 16 }
N180(15)	{ 19 20 163 49 149 }
N180(16)	{ 14 29 45 30 50 10 44 }
N180(17)	{ 55 18 94 54 53 }
N180(18)	{ 54 21 55 51 17 }
N180(19)	{ 33 32 20 15 57 49 31 }
N180(20)	{ 19 33 149 34 15 }
N180(21)	{ 51 26 18 40 95 66 54 }
N180(22)	{ 63 48 132 62 47 }
N180(23)	{ 38 47 39 153 102 152 }
N180(24)	{ 39 8 70 42 69 }
N180(25)	{ 11 34 27 33 56 26 32 }
N180(26)	{ 40 11 21 56 25 51 }
N180(27)	{ 25 11 52 60 59 34 }
N180(28)	{ 14 13 80 29 43 }
N180(29)	{ 14 44 16 80 28 9 }
N180(30)	{ 14 45 16 57 1 31 }
N180(31)	{ 45 32 57 30 19 }
N180(32)	{ 33 19 45 31 56 25 10 }
N180(33)	{ 32 19 34 25 20 }
N180(34)	{ 25 33 27 60 20 177 146 149 }
N180(35)	{ 92 36 73 178 91 103 }
N180(36)	{ 73 61 92 35 83 130 46 129 }
N180(37)	{ 8 38 65 48 7 }
N180(38)	{ 39 8 23 48 37 47 }
N180(39)	{ 38 8 24 152 23 42 }
N180(40)	{ 26 11 21 67 59 52 66 }
N180(41)	{ 69 71 68 70 12 }
N180(42)	{ 70 24 152 39 43 }
N180(43)	{ 70 13 28 152 42 80 }
N180(44)	{ 29 16 53 9 50 }
N180(45)	{ 10 32 31 30 16 }
N180(46)	{ 61 62 63 130 72 36 }
N180(47)	{ 48 38 23 132 22 102 }
N180(48)	{ 47 38 22 63 65 64 37 }
N180(49)	{ 57 19 1 163 68 71 15 }
N180(50)	{ 16 10 44 55 51 53 }
N180(51)	{ 21 55 18 50 56 26 10 }
N180(52)	{ 11 27 67 40 59 }
N180(53)	{ 44 55 50 94 17 9 }
N180(54)	{ 18 17 21 95 147 142 94 }
N180(55)	{ 51 18 17 53 50 }
N180(56)	{ 26 25 32 10 51 }
N180(57)	{ 30 1 49 19 31 }
N180(58)	{ 66 117 95 157 67 }
N180(59)	{ 27 40 52 157 67 101 60 }
N180(60)	{ 27 146 34 157 59 101 }
N180(61)	{ 46 73 36 62 }
N180(62)	{ 63 46 61 22 164 73 132 }
N180(63)	{ 22 62 48 72 46 64 }
N180(64)	{ 48 72 63 65 }
N180(65)	{ 48 37 64 77 72 7 }
N180(66)	{ 67 40 95 21 58 }
N180(67)	{ 40 52 66 157 59 58 }
N180(68)	{ 69 41 7 163 71 49 162 }
N180(69)	{ 8 7 68 70 24 41 }
N180(70)	{ 13 43 42 24 69 71 41 12 }
N180(71)	{ 41 1 12 70 163 68 49 }
N180(72)	{ 63 64 65 77 130 88 46 }
N180(73)	{ 61 36 35 164 103 62 }
N180(74)	{ 75 2 175 79 154 }
N180(75)	{ 2 79 74 135 78 76 }
N180(76)	{ 2 133 135 75 134 }
N180(77)	{ 65 72 107 88 162 81 7 }
N180(78)	{ 135 75 153 79 102 }
N180(79)	{ 75 78 175 74 153 }
N180(80)	{ 28 29 9 152 43 127 }
N180(81)	{ 107 77 163 89 162 }
N180(82)	{ 92 83 90 140 170 91 150 }
N180(83)	{ 92 82 129 36 90 }
N180(84)	{ 4 98 176 136 99 }
N180(85)	{ 96 115 151 99 133 }
N180(86)	{ 115 116 120 118 160 100 96 }
N180(87)	{ 139 156 138 }
N180(88)	{ 107 77 130 72 106 }
N180(89)	{ 107 81 166 106 177 163 }
N180(90)	{ 83 140 82 165 129 136 }
N180(91)	{ 92 82 178 170 35 }
N180(92)	{ 91 82 83 36 35 }
N180(93)	{ 3 155 148 180 105 113 }
N180(94)	{ 17 53 128 9 147 54 108 }
N180(95)	{ 66 21 58 142 117 54 }
N180(96)	{ 99 115 85 100 86 161 160 97 }
N180(97)	{ 99 98 4 161 141 96 }
N180(98)	{ 4 99 97 84 }
N180(99)	{ 98 97 96 151 85 176 84 150 }
N180(100)	{ 120 5 160 119 96 86 }
N180(101)	{ 146 157 59 60 }
N180(102)	{ 47 135 132 153 78 23 }
N180(103)	{ 73 178 35 164 }
N180(104)	{ 112 110 175 154 122 }
N180(105)	{ 3 121 180 173 93 }
N180(106)	{ 107 88 130 131 166 89 138 }
N180(107)	{ 88 77 81 89 106 }
N180(108)	{ 128 122 147 94 109 }
N180(109)	{ 125 147 108 124 159 123 122 }
N180(110)	{ 112 154 104 169 116 111 }
