
***             Voronoi Diagram k =  180         ***
index	sx	sy	ls	mi
        1	     23	     15	      3.16	     0.264
        2	     37	     37	         6	    0.0129
        3	      2	     58	      4.69	  -0.00414
        4	     62	     48	      5.48	   0.00302
        5	     41	     61	      5.29	   0.00962
        6	     19	     63	      4.47	   -0.0408
        7	     34	     13	      4.69	  -0.00979
        8	     33	     17	         2	     0.135
        9	     21	     25	      4.12	    0.0435
       10	     15	     18	      2.45	     0.366
       11	      9	     15	         2	     0.235
       12	     26	     16	      2.24	     0.376
       13	     25	     18	      2.45	     0.417
       14	     22	     18	      2.45	     0.372
       15	     20	      5	      6.93	  -0.00137
       16	     18	     19	      2.83	     0.255
       17	     13	     24	      3.16	    0.0186
       18	     11	     22	         3	     0.046
       19	     17	     12	         4	   0.00433
       20	     14	      9	      4.58	   -0.0223
       21	      9	     21	      3.32	    0.0604
       22	     38	     22	      2.24	     0.158
       23	     32	     23	      3.46	    0.0629
       24	     31	     17	      2.24	     0.193
       25	     11	     14	      2.83	     0.437
       26	     10	     17	      2.45	     0.194
       27	      8	     12	      2.83	    0.0434
       28	     23	     20	         2	    0.0604
       29	     21	     20	      2.65	    0.0665
       30	     20	     16	      2.24	     0.343
       31	     18	     14	      2.24	     0.298
       32	     14	     14	      2.65	     0.358
       33	     13	     13	      2.65	   0.00634
       34	      9	      9	      4.47	    0.0207
       35	     47	     27	      2.65	     0.124
       36	     48	     23	      4.47	   -0.0111
       37	     35	     17	      2.45	   0.00211
       38	     34	     20	      2.24	      0.15
       39	     32	     20	      2.45	     0.123
       40	      7	     17	      2.45	     0.105
       41	     28	     12	         2	    0.0297
       42	     29	     19	      2.65	     0.214
       43	     27	     20	      2.83	    0.0962
       44	     18	     22	         3	    0.0913
       45	     17	     17	      2.65	     0.447
       46	     43	     21	      2.83	    0.0214
       47	     36	     22	      2.45	     0.179
       48	     37	     19	      2.65	      0.25
       49	     23	     10	       5.1	   0.00249
       50	     15	     20	      2.45	     0.109
       51	     13	     19	      2.24	     0.246
       52	      7	     15	         1	      0.75
       53	     16	     24	      3.87	  -0.00865
       54	     10	     27	       5.2	   0.00896
       55	     13	     21	      2.24	     0.192
       56	     12	     17	      2.24	     0.414
       57	     20	     14	      2.65	     0.022
       58	      2	     21	      3.74	  -0.00227
       59	      6	     14	      2.24	     0.102
       60	      6	     10	         3	  0.000555
       61	     45	     23	      2.45	     0.114
       62	     41	     23	      3.16	     0.105
       63	     40	     20	      2.65	     0.234
       64	     39	     18	      2.65	    0.0508
       65	     38	     16	      3.46	    0.0108
       66	      6	     20	      3.32	    0.0295
       67	      3	     17	      3.46	   -0.0141
       68	     30	     10	       4.8	    -0.024
       69	     30	     14	      2.83	   -0.0319
       70	     28	     16	      2.24	     0.301
       71	     26	     12	         3	  -0.00171
       72	     43	     17	      4.69	  -0.00583
       73	     45	     25	         2	     0.145
       74	     32	     34	      4.69	   0.00272
       75	     35	     32	      3.46	    0.0175
       76	     38	     32	      3.46	  -0.00735
       77	     39	     12	      5.48	   0.00392
       78	     34	     29	      3.32	    0.0645
       79	     30	     30	      3.74	    -0.013
       80	     24	     22	      3.46	     0.047
       81	     41	      4	      6.32	     0.012
       82	     53	     30	      4.69	   -0.0118
       83	     52	     25	         4	    0.0145
       84	     62	     40	      5.83	   0.00388
       85	     47	     43	      6.32	   0.00549
       86	     40	     50	      5.74	   0.00626
       87	     62	      6	         5	    0.0114
       88	     45	     12	      4.58	  0.000758
       89	     48	      3	      5.57	   0.00114
       90	     56	     26	      4.58	  -0.00973
       91	     50	     30	         3	    0.0037
       92	     50	     28	      2.83	     0.156
       93	      8	     57	      5.66	  -0.00518
       94	     15	     30	       5.1	  -0.00663
       95	      5	     24	      4.47	    0.0207
       96	     50	     50	      7.21	  -0.00419
       97	     56	     49	      5.74	    0.0246
       98	     58	     45	       5.2	   -0.0202
       99	     55	     41	         6	  -0.00361
      100	     43	     56	      4.58	  0.000449
      101	      2	     10	      3.32	   -0.0138
      102	     34	     26	      3.46	    0.0585
      103	     45	     27	         2	     0.101
      104	     26	     40	      6.16	  -0.00161
      105	      5	     53	      4.69	   -0.0119
      106	     52	      9	      5.66	   -0.0192
      107	     45	      8	         5	   0.00624
      108	     15	     34	       5.2	   -0.0109
      109	     11	     39	      6.16	  -0.00727
      110	     27	     47	      6.71	   0.00209
      111	     23	     50	       4.8	  -0.00016
      112	     20	     42	      5.66	    0.0247
      113	     14	     60	         6	   -0.0209
      114	     23	     56	      4.69	    0.0162
      115	     43	     46	      6.48	  -0.00767
      116	     35	     45	      7.42	 -0.000478
      117	      2	     26	      3.87	  -0.00291
      118	     35	     55	      6.08	   0.00207
      119	     45	     62	       5.2	  -0.00204
      120	     39	     54	      4.69	   -0.0244
      121	      2	     51	      4.36	   -0.0211
      122	     19	     38	      5.83	    0.0199
      123	     11	     44	       5.2	   0.00772
      124	      4	     37	      6.16	  0.000631
      125	      6	     42	         5	    0.0162
      126	     36	     62	      5.29	   0.00284
      127	     25	     26	      4.58	    0.0182
      128	     21	     31	      5.66	  3.28e-05
      129	     53	     21	      5.57	   0.00591
      130	     49	     16	         6	   0.00274
      131	     56	     15	      5.92	  -0.00675
      132	     38	     26	         3	    0.0683
      133	     42	     36	         6	   0.00835
      134	     40	     30	      3.16	   0.00545
      135	     37	     28	      3.16	     0.014
      136	     62	     27	      5.74	   -0.0144
      137	     61	     18	      5.66	   0.00897
      138	     56	      9	         5	   -0.0271
      139	     60	      3	       5.2	    0.0105
      140	     58	     30	       5.1	  -0.00613
      141	     60	     53	      6.48	   0.00198
      142	      4	     30	       5.2	 -7.86e-05
      143	     59	     59	       8.6	   0.00103
      144	     28	     63	      3.61	   0.00164
      145	     31	     61	         5	   0.00888
