
*** Voronoi Diagram Neighbours k = 2444 ***
Seed	Neighbours
N2444(1)	{ 409 2166 1957 61 2335 2334 60 }
N2444(2)	{ 2286 2283 2264 2412 2355 }
N2444(3)	{ 264 412 415 263 68 1175 262 261 }
N2444(4)	{ 266 268 1177 269 265 }
N2444(5)	{ 1284 271 270 1294 274 2083 273 272 }
N2444(6)	{ 203 35 2076 202 1946 }
N2444(7)	{ 284 502 2303 1839 285 }
N2444(8)	{ 2221 2356 1056 9 2418 2414 1815 }
N2444(9)	{ 2289 2193 2356 1027 2414 2209 8 }
N2444(10)	{ 508 93 1723 286 254 2061 287 1948 }
N2444(11)	{ 1798 289 1840 1181 290 }
N2444(12)	{ 2223 2342 2222 }
N2444(13)	{ 1183 298 1184 299 296 1801 297 1727 }
N2444(14)	{ 27 137 131 64 60 622 28 408 }
N2444(15)	{ 2058 2059 1876 2060 1970 2246 1998 305 }
N2444(16)	{ 546 301 1188 303 304 }
N2444(17)	{ 2060 2021 305 2368 110 1189 }
N2444(18)	{ 571 1772 1187 2292 1030 570 }
N2444(19)	{ 1818 1817 1819 2288 2009 2012 }
N2444(20)	{ 1032 1031 1675 2035 2003 1984 }
N2444(21)	{ 1885 2118 1680 2131 1677 1679 }
N2444(22)	{ 1035 1036 1973 2304 1091 1974 }
N2444(23)	{ 307 308 310 309 306 }
N2444(24)	{ 315 311 314 313 603 1953 604 312 }
N2444(25)	{ 412 1190 413 1366 2323 1749 1790 }
N2444(26)	{ 612 613 2167 2440 2439 2378 }
N2444(27)	{ 131 14 419 130 28 }
N2444(28)	{ 419 27 136 29 622 621 14 }
N2444(29)	{ 621 28 627 620 136 }
N2444(30)	{ 1192 323 1191 1752 324 321 }
N2444(31)	{ 32 160 665 161 2327 436 154 }
N2444(32)	{ 154 130 155 131 160 35 31 }
N2444(33)	{ 156 669 1390 1389 1964 672 154 }
N2444(34)	{ 160 159 682 1398 161 2336 677 683 }
N2444(35)	{ 155 160 32 203 6 36 859 202 159 }
N2444(36)	{ 155 137 203 35 }
N2444(37)	{ 328 1039 1037 1774 1038 329 }
N2444(38)	{ 1040 335 337 1208 334 333 }
N2444(39)	{ 340 1212 339 1687 1041 1042 }
N2444(40)	{ 1219 344 1044 1222 1221 1043 }
N2444(41)	{ 351 348 789 349 350 }
N2444(42)	{ 1503 808 1834 1835 189 807 2250 793 190 }
N2444(43)	{ 354 1223 353 1226 356 1045 }
N2444(44)	{ 359 360 361 1228 358 1046 }
N2444(45)	{ 859 884 202 201 2398 2162 858 }
N2444(46)	{ 363 364 366 365 362 }
N2444(47)	{ 884 202 2076 2386 210 2385 }
N2444(48)	{ 889 2201 211 2294 1836 2107 }
N2444(49)	{ 1048 370 368 1236 371 1047 }
N2444(50)	{ 373 1243 1049 1244 375 372 }
N2444(51)	{ 1245 377 1247 378 1248 379 1249 1050 380 }
N2444(52)	{ 2133 1701 382 2295 1255 233 }
N2444(53)	{ 385 384 1054 386 387 }
N2444(54)	{ 389 390 1954 998 2328 388 988 }
N2444(55)	{ 2389 1928 1795 2413 1057 2225 }
N2444(56)	{ 2221 1056 2442 2225 2224 }
N2444(57)	{ 1260 1058 395 1263 397 396 }
N2444(58)	{ 1770 2237 399 2330 398 2234 }
N2444(59)	{ 1693 1011 1024 2192 258 1567 }
N2444(60)	{ 14 409 408 1672 64 2335 1 1671 }
N2444(61)	{ 2166 1264 1745 2334 1 2333 }
N2444(62)	{ 404 400 403 1265 1060 401 }
N2444(63)	{ 1957 405 409 1978 406 407 }
N2444(64)	{ 14 60 137 2321 1672 2286 }
N2444(65)	{ 411 562 560 410 1980 2426 2391 107 }
N2444(66)	{ 1665 1664 67 2174 1976 2194 1708 1663 }
N2444(67)	{ 1747 1665 1779 1063 1976 1061 66 }
N2444(68)	{ 412 415 3 610 413 414 }
N2444(69)	{ 420 1267 416 421 1844 418 132 }
N2444(70)	{ 423 428 71 1267 424 1958 422 425 }
N2444(71)	{ 427 423 70 1271 426 428 }
N2444(72)	{ 1276 1275 434 1278 2152 433 2097 }
N2444(73)	{ 1721 267 2152 433 2327 436 74 }
N2444(74)	{ 2327 73 154 2419 1964 1721 }
N2444(75)	{ 439 1279 438 1065 1280 1064 440 }
N2444(76)	{ 1066 442 1283 1282 1284 443 444 }
