
***             Voronoi Diagram k = 2444         ***
index	sx	sy	ls	mi
        1	    458	    114	      13.5	  1.76e+08
        2	    626	     17	      41.4	  1.42e+08
        3	    389	    179	      6.56	  5.86e+08
        4	    333	    217	      4.12	  7.68e+08
        5	    393	    254	      5.29	  1.15e+09
        6	     66	    244	       101	  1.45e+08
        7	    222	    447	      6.63	  4.58e+08
        8	    185	    555	      39.9	  3.33e+08
        9	    223	    576	      34.1	  3.86e+08
       10	    226	    379	      8.37	  6.71e+08
       11	    388	    605	       9.9	   6.3e+08
       12	     31	    565	      71.1	  1.44e+08
       13	    443	    149	      4.69	  1.44e+09
       14	    401	     81	      55.5	  1.44e+08
       15	    535	    311	      22.2	     6e+08
       16	    448	    200	      5.57	  9.17e+08
       17	    530	    355	      23.5	   6.5e+08
       18	    461	    239	      21.5	  4.04e+08
       19	    538	    414	      17.1	  7.07e+08
       20	    486	    416	      10.9	  6.55e+08
       21	    491	    503	      12.3	  7.01e+08
       22	    504	    439	      7.94	   7.2e+08
       23	    417	    170	      4.58	   1.5e+09
       24	    416	    201	         6	  1.33e+09
       25	    385	    200	      9.54	  7.13e+08
       26	    365	    180	      6.63	  2.41e+08
       27	    366	    121	      37.2	  1.46e+08
       28	    387	    127	      23.7	  1.52e+08
       29	    397	    139	      9.59	   1.8e+08
       30	    307	    243	      4.47	  9.57e+08
       31	    290	    196	      32.2	  1.52e+08
       32	    274	    159	      67.3	  1.44e+08
       33	    340	    191	      11.3	  1.91e+08
       34	    271	    240	      16.6	  1.73e+08
       35	    202	    205	      89.7	  1.45e+08
       36	    129	     64	       141	  1.41e+08
       37	    360	    265	      2.45	  1.69e+09
       38	    381	    232	         4	  1.48e+09
       39	    309	    291	         4	  1.41e+09
       40	    301	    339	      3.46	  2.12e+09
       41	    275	    343	      4.24	   1.7e+09
       42	    256	    327	      8.49	  1.12e+09
       43	    259	    292	      3.16	  2.17e+09
       44	    287	    279	         4	  1.06e+09
       45	    220	    283	      20.7	   1.6e+08
       46	    224	    322	      3.74	  8.17e+08
       47	    170	    317	      36.1	   1.5e+08
       48	    363	    380	      25.5	  4.47e+08
       49	    325	    342	      3.61	  2.11e+09
       50	    334	    294	      3.61	   2.2e+09
       51	    344	    292	      3.74	  2.33e+09
       52	    247	    434	      13.7	  3.74e+08
       53	    279	    373	      4.58	  1.32e+09
       54	    304	    372	      5.57	  8.03e+08
       55	    177	    489	      16.8	  3.23e+08
       56	    144	    513	      26.4	  2.41e+08
       57	    243	    401	      5.66	  8.26e+08
       58	    209	    363	      6.32	  5.62e+08
       59	    239	    347	      8.25	   9.4e+08
       60	    461	     89	        35	  1.49e+08
       61	    465	    122	      6.71	  2.46e+08
       62	    460	    134	      3.16	  7.09e+08
       63	    444	    125	      8.66	  2.26e+08
       64	    429	     33	      65.6	  1.42e+08
       65	    481	    177	      14.5	  3.81e+08
       66	    486	    476	      6.86	  7.15e+08
       67	    491	    467	      6.56	   7.2e+08
       68	    383	    184	      6.08	  5.77e+08
       69	    378	    166	      7.14	  2.38e+08
       70	    391	    167	      4.12	   6.4e+08
       71	    395	    169	      3.32	  1.18e+09
       72	    320	    221	      4.58	  3.85e+08
       73	    323	    212	      6.78	  2.18e+08
       74	    324	    201	        10	  1.92e+08
       75	    406	    254	       4.9	   8.1e+08
       76	    395	    265	      3.87	  1.35e+09
       77	    385	    267	      4.12	  1.19e+09
       78	    382	    251	       4.8	  1.41e+09
       79	    394	    244	      5.39	  1.16e+09
       80	    300	    315	         4	  2.26e+09
       81	    287	    325	      4.12	  1.79e+09
       82	    277	    321	      4.24	  1.28e+09
       83	    273	    313	      5.66	   1.2e+09
       84	    280	    303	         4	  1.33e+09
       85	    289	    304	      4.36	  1.41e+09
       86	    334	    321	      4.12	  2.94e+09
       87	    345	    316	      4.24	   3.5e+09
       88	    357	    314	      4.36	  1.01e+09
       89	    358	    324	      4.58	  6.95e+08
       90	    280	    394	      4.47	  7.11e+08
       91	    307	    399	      13.7	  4.06e+08
       92	    242	    380	      4.58	  1.17e+09
       93	    229	    368	      7.42	  8.32e+08
       94	    235	    368	      6.16	  8.44e+08
       95	    435	    614	      4.47	   6.2e+08
       96	    471	    147	      3.61	  1.22e+09
       97	    469	    139	      3.74	  1.17e+09
       98	    475	    130	         4	  4.43e+08
       99	    460	    153	      5.39	  1.33e+09
      100	    430	    148	      3.16	  1.24e+09
      101	    440	    137	      3.87	  5.83e+08
      102	    455	    144	         4	  1.42e+09
      103	    455	    190	       5.2	  8.99e+08
      104	    457	    179	       5.2	  9.94e+08
      105	    441	    169	      6.24	  1.38e+09
      106	    460	    160	      5.57	  1.27e+09
      107	    512	    175	      27.1	  3.59e+08
      108	    473	    156	      3.87	  1.14e+09
      109	    514	    405	      11.7	  6.63e+08
      110	    512	    372	      21.5	  6.65e+08
      111	    431	    222	      5.74	  6.41e+08
      112	    432	    218	       4.8	  8.25e+08
      113	    435	    216	      5.39	  7.19e+08
      114	    514	    470	      8.77	   6.8e+08
      115	    473	    467	       6.4	  7.17e+08
      116	    502	    455	         5	  7.26e+08
      117	    491	    451	      5.83	  7.33e+08
      118	    428	    166	      5.29	  1.47e+09
      119	    428	    179	         5	  1.37e+09
      120	    410	    178	         5	  7.38e+08
      121	    407	    165	      4.47	  1.57e+09
      122	    418	    156	      4.12	  1.51e+09
      123	    425	    191	      5.92	  1.28e+09
      124	    425	    206	      4.69	  1.06e+09
      125	    424	    211	      5.83	   9.7e+08
      126	    401	    209	      5.57	   8.5e+08
      127	    372	    211	      9.17	  7.21e+08
      128	    372	    184	      4.12	  6.92e+08
      129	    363	    192	      3.32	  7.48e+08
      130	    335	    152	      38.1	  1.48e+08
      131	    331	    112	      57.5	  1.44e+08
      132	    368	    164	      11.4	  1.84e+08
      133	    410	    144	      6.16	  2.61e+08
      134	    399	    155	      4.36	   3.6e+08
      135	    391	    152	      6.48	  2.24e+08
      136	    391	    145	      11.7	  1.77e+08
      137	    330	     37	      82.1	  1.41e+08
      138	    359	    233	      5.83	  9.55e+08
      139	    349	    225	      7.55	  7.17e+08
      140	    349	    244	      5.83	   9.9e+08
      141	    339	    265	      3.32	  1.47e+09
      142	    336	    264	      4.24	  1.18e+09
      143	    336	    241	      5.74	  9.27e+08
      144	    331	    265	         5	  1.07e+09
      145	    325	    266	       5.1	  1.08e+09
      146	    315	    261	         5	  9.34e+08
      147	    324	    241	         5	  8.65e+08
      148	    329	    240	       4.9	  8.65e+08
      149	    296	    251	      3.61	  1.19e+09
      150	    291	    224	        11	  1.84e+08
      151	    312	    231	      4.36	  6.44e+08
      152	    354	    200	       5.1	  6.38e+08
      153	    345	    206	       5.2	   6.7e+08
      154	    325	    190	      23.6	  1.57e+08
      155	    260	     80	       106	  1.41e+08
      156	    337	    176	      21.5	  1.59e+08
      157	    284	    252	      3.61	  5.08e+08
      158	    268	    258	      6.78	  2.78e+08
      159	    243	    225	      34.4	  1.52e+08
      160	    258	    206	      38.7	  1.48e+08
      161	    280	    223	      20.2	  1.63e+08
      162	    416	    244	      5.48	  5.87e+08
      163	    382	    290	       4.9	  7.09e+08
      164	    388	    280	      4.12	  6.94e+08
      165	    373	    271	      4.24	  1.99e+09
      166	    366	    280	         4	  2.15e+09
      167	    348	    269	      2.83	  2.36e+09
      168	    359	    250	      3.87	  1.42e+09
      169	    368	    256	      4.12	  1.48e+09
      170	    392	    236	       5.1	  1.12e+09
      171	    375	    243	      3.74	   1.7e+09
      172	    366	    236	       5.1	  1.03e+09
      173	    376	    222	       6.4	  8.23e+08
      174	    319	    280	      3.61	  1.28e+09
      175	    314	    306	      3.61	  3.03e+09
      176	    309	    305	      4.24	  2.54e+09
      177	    298	    296	      4.36	  1.43e+09
      178	    308	    274	      4.47	  1.01e+09
      179	    311	    325	      4.12	  2.29e+09
      180	    307	    348	      3.32	  2.16e+09
      181	    294	    350	      3.87	  2.03e+09
      182	    293	    334	      3.74	  2.52e+09
      183	    306	    324	      4.36	  2.69e+09
      184	    285	    351	         4	  2.12e+09
      185	    273	    352	      3.87	   1.7e+09
      186	    264	    344	         4	  1.37e+09
      187	    274	    332	      3.87	  1.47e+09
      188	    283	    335	      3.46	  1.92e+09
      189	    265	    326	      4.58	  1.25e+09
      190	    248	    330	      7.68	  1.07e+09
      191	    246	    315	      4.24	  1.48e+09
      192	    271	    295	      4.58	   1.2e+09
      193	    263	    305	       5.2	  1.15e+09
      194	    248	    301	      4.24	  2.41e+09
      195	    250	    283	         3	  5.39e+08
      196	    263	    278	      2.83	  1.31e+09
      197	    290	    291	      4.24	  1.33e+09
      198	    274	    272	      3.46	  1.85e+09
      199	    238	    280	      7.75	  2.27e+08
      200	    236	    300	      4.47	  6.38e+08
      201	    216	    294	      12.7	   1.8e+08
      202	    176	    268	      68.2	  1.46e+08
      203	     79	    154	       124	  1.43e+08
      204	    235	    314	      4.12	  1.59e+09
      205	    233	    328	      4.69	  1.48e+09
      206	    219	    334	      4.69	  7.73e+08
      207	    213	    322	      4.58	  2.94e+08
      208	    218	    310	      6.48	  2.47e+08
      209	    208	    340	         5	  3.99e+08
      210	    192	    320	      18.8	  1.61e+08
      211	    337	    368	      14.4	  4.36e+08
      212	    342	    346	      5.83	     6e+08
      213	    335	    341	         4	  9.55e+08
      214	    316	    350	      3.46	  2.51e+09
      215	    320	    328	      3.46	  2.61e+09
      216	    325	    328	      3.87	  2.61e+09
      217	    339	    304	      4.24	  2.69e+09
      218	    328	    309	      3.61	  2.34e+09
      219	    324	    308	         4	   2.2e+09
      220	    328	    282	      4.12	  1.99e+09
      221	    334	    281	      4.12	  2.38e+09
      222	    360	    290	      3.74	  2.47e+09
      223	    355	    302	         4	  3.23e+09
      224	    343	    303	      3.87	  2.81e+09
      225	    338	    280	      4.12	  2.38e+09
      226	    342	    279	      3.46	  2.26e+09
      227	    380	    323	      17.2	  4.41e+08
      228	    369	    310	      5.48	   7.1e+08
      229	    375	    301	       4.8	  7.07e+08
      230	    190	    465	      13.9	   3.7e+08
      231	    205	    424	      14.5	  4.56e+08
      232	    175	    411	      10.1	  2.84e+08
      233	    263	    444	      21.7	  3.67e+08
      234	    226	    421	      6.08	  6.25e+08
      235	    289	    421	      17.5	  3.82e+08
      236	    265	    399	      7.55	  5.77e+08
      237	    287	    379	      4.12	  1.25e+09
      238	    276	    385	      4.58	  9.38e+08
      239	    269	    382	         4	  1.19e+09
      240	    286	    363	      3.87	  1.73e+09
      241	    316	    367	         5	  6.72e+08
      242	    305	    382	      6.16	  5.48e+08
      243	    297	    378	      4.69	  7.87e+08
      244	    296	    362	      3.46	  1.88e+09
      245	    308	    361	         4	  1.25e+09
      246	    260	    379	      4.47	  1.48e+09
      247	    246	    365	      4.69	  1.13e+09
      248	    255	    393	         4	  1.07e+09
      249	    247	    389	       4.8	  1.08e+09
      250	    179	    401	        10	   2.9e+08
      251	    170	    397	      13.1	  1.85e+08
      252	    152	    388	      28.9	  1.51e+08
      253	    184	    379	      8.43	  2.82e+08
      254	    213	    378	        10	  5.79e+08
      255	    190	    370	      7.94	  2.98e+08
      256	    189	    359	      7.42	  2.25e+08
      257	    214	    351	      5.57	  7.44e+08
      258	    247	    347	      7.62	  1.05e+09
      259	    236	    359	      7.87	  9.19e+08
      260	    225	    347	      7.14	  8.78e+08
      261	    392	    175	      4.69	  8.35e+08
      262	    396	    186	      7.87	  6.19e+08
      263	    384	    177	      3.87	  9.45e+08
      264	    387	    174	      4.12	  1.04e+09
      265	    339	    221	      7.07	  6.65e+08
      266	    331	    221	       4.8	  7.02e+08
      267	    327	    218	         4	  5.77e+08
      268	    330	    215	      3.61	  5.52e+08
      269	    333	    213	      3.16	  5.86e+08
      270	    398	    257	      4.58	  1.07e+09
      271	    391	    259	      3.74	  1.06e+09
      272	    388	    257	      4.12	  1.24e+09
      273	    389	    248	      5.74	  1.37e+09
      274	    397	    252	      4.47	  1.01e+09
      275	    289	    313	      4.58	   1.5e+09
      276	    289	    317	      4.58	  1.58e+09
      277	    282	    316	      5.39	  1.28e+09
      278	    284	    312	      4.58	  1.38e+09
      279	    353	    328	      5.48	  6.97e+08
